,ybgS
Cr_1,0.003980149642970965
Cr_2,0.009047749744218705
Cr_3,0.015931494681558668
Cr_4,0.020086456056819867
Cr_5,0.025157666479749718
Cr_6,0.025197176037223882
Fe_1,-0.0075609898801078206
Fe_2,-0.021345529481739404
Fe_3,-0.038722668396815416
Fe_4,-0.06062735398959996
Fe_5,-0.07925511574536652
Fe_6,-0.0926355879818386
Cd_1,0.004133627268035861
Cd_2,0.008004706890632944
Cd_3,0.015291848931640815
Cd_4,0.018932539953272556
Cd_5,0.016873370238953217
Cd_6,0.017370641899992476
Zn_1,-0.010795822947821505
Zn_2,-0.0184401536378524
Zn_3,-0.020785297936432256
Zn_4,-0.015449760073989516
Zn_5,-0.009909727279357685
Zn_6,-0.0046212163183025476
Cu_1,0.0069375345167070725
Cu_2,0.014898516106009731
Cu_3,0.024710058629862832
Cu_4,0.0318883063393867
Cu_5,0.03750349626374689
Cu_6,0.04729277554600728
Pb_1,0.007480684747972713
Pb_2,0.019557458864788758
Pb_3,0.030748388024017893
Pb_4,0.0409002870630418
Pb_5,0.053559903577289694
Pb_6,0.06346343845159726
