locus,gene_weight,gene_name,gene_product,cog,regulator,link
PA1230,0.5097548962,PA1230,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1230&e1=1&assembly=complete
PA4881,0.1037772562,PA4881,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4881&e1=1&assembly=complete
