locus,gene_weight,gene_name,gene_product,cog,regulator,L-tryptophan,Crp,Nac,TorR,link
b3708,0.4927746115913947,tnaA,tryptophanase,Amino acid transport and metabolism,"RpoD,Crp,TorR,RplD,Nac,L-tryptophan",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11005
b3709,0.2092446574342642,tnaB,tryptophan:H(+) symporter TnaB,Amino acid transport and metabolism,"RpoD,Crp,TorR,Nac,L-tryptophan",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11006
