,A,Nac,TorR,Crp
R2,,0.03782563300122688,0.03338002564388365,0.004812602512843767
xmin,,-4.725505623,-4.935763002,-9.852476477
xmid,,,1.1393773977455688,
xmax,,8.132852124639204,2.3201578990000002,1.6003325529999994
ystart,,2.914750958093285,0.6814032711248394,-2.478364657277761
yend,,-4.720153088803215,16.385767036926687,1.2206890352357878
control__wt_glc__1,-0.4526608743154683,-0.12201272600000035,0.14354776299999994,0.012478645999999928
control__wt_glc__2,0.4526608743154396,0.12201272599999945,-0.14354776299999994,-0.012478645999999928
fur__wt_dpd__1,-2.966862460600146,-1.6999142799999998,-0.011604628999999813,0.07757413100000042
fur__wt_dpd__2,-2.559310828248807,-1.938769955,0.005964376999999743,-0.0906821709999992
fur__wt_fe__1,-0.0751534381209783,0.5235308730000003,-0.3329049819999996,-0.030513672999999738
fur__wt_fe__2,0.2750202204599579,0.25748753199999985,-0.1716603809999997,0.0581907200000007
fur__delfur_dpd__1,-3.4665533911550366,-1.6025365280000001,0.16310204500000047,-0.10598198399999957
fur__delfur_dpd__2,-3.016176581816106,-1.724549783,-0.227053229,-0.22346684100000047
fur__delfur_fe2__1,-0.1915077161912279,-0.7173395530000004,-0.002913186999999873,0.4364299129999996
fur__delfur_fe2__2,-0.5420593939883771,-0.8082979190000001,-0.09550251799999998,0.36756339300000107
acid__wt_ph5__1,-1.6610412763676596,-0.7414509709999999,-0.1516957020000005,0.3455225730000002
acid__wt_ph5__2,-1.7093895867542233,-0.5250578890000002,-0.1435031750000002,0.34313646300000045
acid__delgadx_ph5__2,-1.9225921643921875,-0.5473652200000005,-0.3082944009999995,0.3393877130000007
acid__delgadw_ph5__1,-1.5024009687452942,-0.6070672230000005,-0.14075814300000022,0.3838637929999997
acid__delgadw_ph5__2,-1.7494975196406006,-0.5113484609999999,-0.17184256999999992,0.3398617829999999
acid__delgade_ph5__1,-1.776188647890378,-0.3920578079999997,-0.1490212659999992,0.432408723
acid__delgade_ph5__2,-1.6380216200436144,-0.5747283149999998,0.07628789299999994,0.4824361929999999
oxidative__wt_pq__1,-3.0877225197575333,-1.44188698,0.2010140390000004,0.17662370300000066
oxidative__wt_pq__2,-3.099673999882864,-1.4679998530000002,0.4521804120000006,0.24038529300000103
oxidative__deloxyr_pq__1,-3.3938836320463177,-1.541611591,0.2988572979999997,0.5131550130000004
oxidative__deloxyr_pq__2,-3.469648116869172,-1.328150785,0.4003496919999998,0.5363373029999998
oxidative__delsoxr_pq__1,-2.6592111676995964,-2.395016924,0.12044591900000068,0.3346725330000009
oxidative__delsoxr_pq__2,-2.503846484869307,-1.948205151,0.06547704100000029,0.3870598730000001
oxidative__delsoxs_pq__1,-3.2136214182075427,-1.627599484,0.3561901790000004,0.5134629630000003
oxidative__delsoxs_pq__2,-3.198837382776134,-1.2686930530000002,0.5778760700000003,0.5104807529999995
nac_ntrc__wt_csn__1,-1.789905158667183,7.520987127000001,0.034910855000000574,-0.0727968299999997
nac_ntrc__wt_csn__2,-1.56117435938199,7.504085217,0.3052095700000006,-0.09324395099999984
nac_ntrc__wt_cytd__1,-2.4107594755717896,7.005102877000001,-0.2567064119999998,-0.043119613
nac_ntrc__wt_cytd__2,-2.1461274807500423,7.055380746999999,-0.19656314499999986,-0.07348926000000056
nac_ntrc__wt_gln__1,-2.960232469124148,7.640281806999999,-0.381079465,0.16383650300000066
nac_ntrc__wt_gln__2,-3.018796867204512,7.552225147000001,-0.42672463200000005,0.11651884599999995
nac_ntrc__bw_delnac_csn__1,-0.667112039686051,-4.725505623,0.4305769660000003,0.16921202300000004
nac_ntrc__bw_delnac_csn__2,-0.9694625395790298,-4.725505623,0.5879773579999998,0.03216219000000109
nac_ntrc__bw_delnac_cytd__1,-2.143752455587409,-4.5702274869999995,-0.0263489029999997,0.2936758630000007
nac_ntrc__bw_delnac_cytd__2,-2.001302992577864,-4.725505623,0.0014634090000003044,0.2286386530000009
nac_ntrc__bw_delnac_gln__1,-3.3321401708991183,-4.725505623,-0.15258916800000044,0.5051051429999998
nac_ntrc__bw_delnac_gln__2,-2.7844401947182638,-4.0256203589999995,0.20683180800000045,0.563775123000001
nac_ntrc__bw_delnac_nh4__1,0.0774441310900884,-4.725505623,0.17772217200000018,0.3391651030000009
nac_ntrc__bw_delnac_nh4__2,0.3661775261830685,-4.725505623,0.3040527040000001,0.3602350630000011
misc__wt_no_te__1,-1.0810166757537123,-1.39616496,-0.11146026399999977,0.3221691629999999
misc__wt_no_te__2,-1.2473206238611902,-1.23681461,-0.3398242299999996,0.3159875930000009
misc__bw_delcbl__1,1.537570877603183,-0.7578401820000003,-0.3160695159999998,0.30577407300000026
misc__bw_delcbl__2,1.1608339380681825,-0.5660527709999998,-0.2286169059999992,0.3225694130000001
