,deoD
Cr_1,-0.009942271353287624
Cr_2,-0.009356380623108573
Cr_3,-0.010536770881338527
Cr_4,-0.011623040417512557
Cr_5,-0.016408366938756552
Cr_6,-0.01678652828905894
Fe_1,-0.003822989919065942
Fe_2,-0.00835972842835558
Fe_3,-0.01742242816422519
Fe_4,-0.024262744488799837
Fe_5,-0.019063882218454925
Fe_6,-0.014344305695322947
Cd_1,0.015542461370482763
Cd_2,0.03125412936482544
Cd_3,0.035026620623090865
Cd_4,0.03771877191382906
Cd_5,0.03707737479613156
Cd_6,0.04005796773840602
Zn_1,-0.0003983745086897461
Zn_2,0.00818924477082669
Zn_3,0.014819916614995744
Zn_4,0.035821925304603444
Zn_5,0.05084896437299313
Zn_6,0.06433577756673274
Cu_1,-0.009054647236793415
Cu_2,-0.011281914484299237
Cu_3,-0.010031372889038126
Cu_4,-0.006257383922538347
Cu_5,-0.0012567033291307676
Cu_6,0.0009401055130461481
Pb_1,-0.002149130881514296
Pb_2,-0.008098721112611305
Pb_3,-0.006267042720142603
Pb_4,-0.007159189543338522
Pb_5,-0.014618618170161916
Pb_6,-0.019219052321764744
