,-0.15008398452348656,-0.11673198796271177,-0.08337999140193697,-0.050027994841162174,-0.016675998280387377,0.016675998280387433,0.050027994841162216,0.083379991401937,0.11673198796271181,0.15008398452348662,0.18343598108426143,0.21678797764503618,0.250139974205811,0.28349197076658583,0.31684396732736053,0.35019596388813534,0.38354796044891015,0.41689995700968496,0.4502519535704598,0.4836039501312346
thresh,-0.16675998280387397,0.16675998280387397,29,,,,,,,,,,,,,,,,,
unreg,0,0,0,25,1708,1694,27,2,0,0,0,0,0,0,0,0,0,0,0,0
Rob,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cra,0,0,0,0,16,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AcrR,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fis,0,0,0,0,36,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoxS,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MarA,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CpxR,0,0,0,0,28,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,2,203,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob and Crp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cra and Fis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cra and Crp,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AcrR and SoxS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AcrR and Crp,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fis and Crp,0,0,0,0,32,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SoxS and MarA,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoxS and Crp,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MarA and Crp,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CpxR and Crp,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cra, Fis, and Crp",0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rob, SoxS, MarA, and Crp",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rob, SoxS, and MarA",0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rob, Cra, SoxS, MarA, and Crp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fis, SoxS, and Crp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rob, AcrR, SoxS, and MarA",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cra, SoxS, and MarA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cra, CpxR, and Crp",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rob, Cra, SoxS, and MarA",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rob, Cra, AcrR, Fis, SoxS, MarA, CpxR, MarR, and Crp",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Rob_genes,[],[],[],[],[],['mltF'],['aslB'],[],[],[],[],[],[],[],[],[],[],[],[],[]
