,A,MarA,MarR,Fis,Crp,Rob,AcrR,Cra,SoxS,CpxR
R2,,0.7154188755215846,0.5091442521461443,0.17052334194113183,0.08574934621819874,0.08235135444108388,0.07829045637165943,0.035082421821477805,0.020761409924711316,0.00939925567430655
xmin,,-3.9616957394,-3.6647801919000003,-4.8936592304,-9.852476477,-4.6095224105,-4.5997015363,-7.2746930645,-6.550050657,-8.11516967
xmid,,-2.384377608348528,-2.422834104425883,-1.5106844212553978,-2.042867362122686,-0.8569370649449081,-0.12081343039110709,-2.3858446113052096,,-1.8627469110619717
xmax,,6.743759748,6.1876090504,4.361795663,2.5388323397,2.6198603558,3.5366428331,2.4360738119,6.984065303,2.3778217705999998
ystart,,-4.49468926127455,-3.402520924621428,-1.3112337572871828,2.477357857815305,1.3266209381502478,-0.09261087524858533,1.8239193407164043,-1.3034712854315236,1.101034184092275
yend,,11.846205120754556,9.619333543701762,5.454493761954268,-2.340604720404847,-2.98432275286325,4.689294455777502,-1.4053469088049233,1.9676046576160915,-0.7328660743608804
aat__00m_00s__1,0.4771084627,-0.006812383000000001,0.0463283454,0.1452799267,0.0344951212,-0.1307203282,-0.2611089849,0.062006051900000005,0.6049298045,0.0371924006
aat__00m_30s__1,1.2319809581,-0.1590580577,0.2163514762,0.032152022100000004,0.1435731223,-0.1927427347,-0.059415883,-0.1314214465,1.3871361292,-0.1167177905
aat__01m_00s__1,2.0250837627,-0.08452463560000001,0.15760612100000002,-0.11344229280000001,0.2534372822,-0.4250847219,-0.1612054373,0.0314530619,2.481991374,-0.029000962
aat__02m_00s__1,1.0651859436,-0.3281762393,-0.0750797547,-0.6030691047,0.283920339,-0.4134939409,-0.25445370240000004,-0.1295274102,3.175986576,0.0848096896
aat__05m_00s__1,2.3280049852999998,0.15808148400000002,-0.14778503070000001,-0.7040569003,0.3175329239,-0.4772358179,-0.11344849230000001,-0.2247240932,4.2621177106,-0.0884970087
aat__10m_00s__1,3.4106587087999998,0.6488701604,0.2108263265,-0.3000441569,0.17602055360000002,-0.42573489740000003,-0.20858447160000002,-0.7116227439,5.2356248738,-0.2513995396
aat__00m_00s__2,-0.7758961226000001,-0.19461449490000002,-0.0281220964,-0.1565872788,0.005256366,0.0670659574,0.0144703751,-0.1377842684,-0.543356217,0.0815287471
aat__00m_30s__2,1.463405953,-0.1285404451,0.8642122194,0.0544366627,0.2819816342,0.0561367804,-0.49497840930000003,-0.0278778495,1.9796601533,0.07859198910000001
aat__01m_00s__2,1.2096861196,-0.1294872491,0.16382775360000001,-0.2428967066,0.2801678667,-0.32276603470000004,-0.23277313800000002,-0.0861555941,2.3633424613000003,0.0571983363
aat__02m_00s__2,1.0354016376,-0.2745053021,-0.0147114435,-0.7952871017,0.4762089513,-0.46862171610000003,-0.0037492433000000003,-0.0825496888,3.1963344098,0.0092045323
aat__05m_00s__2,1.2453604517,-0.2829135836,-0.264612483,-1.2037749275,0.5370175003000001,-0.5923620013,-0.08021243060000001,-0.0984813253,4.5281974976,-0.0070013234
aat__10m_00s__2,2.1972847246000002,0.1548882011,0.0227961274,-0.8523048087,0.5086233319,-0.5565081527,0.1835954498,-0.48781484950000004,5.0563946221,-0.12278870160000001
aat__00m_00s__3,0.2987876599,0.2014268779,-0.018206249,0.011307352100000001,-0.039751487200000005,0.0636543708,0.24663860980000002,0.07577821650000001,-0.0615735875,-0.11872114760000001
aat__00m_30s__3,1.4117377115,0.4845565926,0.8434825286000001,0.29622605760000004,0.2905320638,-0.0390128849,0.019183170700000002,-0.0035574465000000003,1.3642087595999999,-0.2152456738
aat__01m_00s__3,1.4068003607000001,0.1257374246,0.32206471600000003,0.0283022157,0.1859933018,-0.3807153278,-0.46703423450000003,-0.16898320120000002,2.0938203226,-0.1562458411
aat__02m_00s__3,1.3710291995000001,0.0792893026,0.1595778388,-0.43191519440000004,0.3699621097,-0.2376829407,-0.0746520251,-0.3037351676,3.0186881448,-0.26473731030000003
aat__05m_00s__3,1.3349268543,-0.075958759,0.0301740047,-1.1986122972,0.5483756585,-0.4997388106,0.0427496826,-0.012594644700000001,4.5388002279,-0.0212701091
aat__10m_00s__3,2.581179422,0.46284071990000003,-0.2384348677,-1.2380068344,0.50143841,-0.428245309,0.14464178860000002,-0.2651798535,5.3447472309,-0.067659326
abx_mega__dmso-2__1,-0.4211028999,-0.7330415333,0.4241506336,-0.1179993382,-0.4516798918,2.0700535546,-0.7818629666,0.7869246933,0.1288398648,0.3803231496
abx_mega__ery_dmso__1,4.2004322632,2.540166964,1.8307003899,0.7771395971,-1.8893970692000002,-1.2860803632,0.3573595663,-1.9643924144,0.1060526531,0.1729381065
abx_mega__nal_naoh__1,-3.1726586794,-1.0704468478,0.7115695363,0.1724641512,-0.1701238306,1.7457139271000002,-2.9965127819,0.2616035103,1.7907912964000001,0.2486438929
abx_mega__dmso-5__1,-1.0677214247,-0.0275928083,0.0488168043,-0.4379147116,0.1340371706,-0.2791407504,-0.0017418751,0.0813911834,1.2216036832000001,0.6349426454
