,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,3.379612471277227,3.0,0.0,1.843786417,1.0,2.0567170702,2.0,-3.9005034872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,8.655296919433333,4.631355518556363,3.0,3.0,11.0106892244,4.0,11.6355508937,5.0,3.3196506402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,8.191973558433334,0.5530469956350412,3.0,6.0,8.3745543452,7.0,8.6306446463,8.0,7.5707216838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,4.761651390643757e-12,11.26691476236699,21.0,9.0,11.4199615069,10.0,6.6974939445,11.0,12.0101650603,12.0,10.0992280028,13.0,5.8937056185,14.0,9.9104767714,15.0,-13.1992646841,16.0,-13.3219750682,17.0,-12.6143361283,18.0,9.6010444573,19.0,11.8377243296,20.0,3.285514011,21.0,5.8517652713,22.0,12.5558724077,23.0,11.446210840500001,24.0,-9.6265112502,25.0,-7.1178708746,26.0,-12.0579590941,27.0,-11.4300268831,28.0,-15.3117500928,29.0,-15.9294681463
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,3.5163394282190477,11.295896249106159,21.0,30.0,9.4466126018,31.0,10.6800143465,32.0,14.5028487473,33.0,14.504459152799999,34.0,9.546644664,35.0,13.1925587959,36.0,-7.9613005287,37.0,-12.2473405346,38.0,-9.8078854921,39.0,14.6300565383,40.0,15.3645561758,41.0,12.4454476325,42.0,11.3893991529,43.0,11.2675258099,44.0,13.9538717353,45.0,-6.818499587,46.0,2.765162443,47.0,-5.4698338911,48.0,-11.221168876,49.0,-13.3914010949,50.0,-12.928599799
5,WT_vs_Del_ccpA__THY_None_WT_exponential,0.0,1.0402963247303192,3.0,51.0,-0.8289413477,52.0,1.1673708165,53.0,-0.3384294688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-9.815335749875,1.7066670229713343,4.0,54.0,-7.2738461896,55.0,-10.7235460406,56.0,-10.386698726,57.0,-10.8772520433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,0.0,0.36972813174055524,4.0,58.0,0.1165723553,59.0,-0.1881792732,60.0,0.459201821,61.0,-0.3875949031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-4.576541389275,1.6538666333693322,4.0,62.0,-4.2066936389,63.0,-6.6380270680999995,64.0,-4.823538631,65.0,-2.6379062191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-7.5550385325,1.4907942657091686,4.0,66.0,-5.37024128,67.0,-7.8368853036,68.0,-8.5513229451,69.0,-8.4617046013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
