,0.0,0.13168691881775701,0.26337383763551403,0.39506075645327104,0.5267476752710281,0.658434594088785,0.7901215129065421,0.9218084317242992,1.0534953505420561,1.185182269359813,1.31686918817757,1.4485561069953272,1.5802430258130842,1.7119299446308411,1.8436168634485983,1.9753037822663553,2.1069907010841122,2.2386776199018694,2.370364538719626,2.5020514575373833
thresh,-0.06584345940887851,0.06584345940887851,2,,,,,,,,,,,,,,,,,
unreg,4239,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BtsR,12,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],['mqo' 'yjiA' 'yjiX'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
BtsR_genes,"['pdhR' 'cspC' 'csgG' 'csgC' 'mdh' 'csgB' 'yobF' 'csgE' 'csgF' 'csgD'
 'csgA' 'lpd']",['aceE' 'aceF'],[],[],[],[],['btsT'],[],[],[],[],[],[],[],[],[],[],[],[],[]
