,fliL
Cr_1,-0.016961787410351932
Cr_2,-0.008702917403212268
Cr_3,0.006525633920184827
Cr_4,-0.0037350209213566896
Cr_5,-0.017400905149681185
Cr_6,-0.024063917203095232
Fe_1,-0.016181480784528492
Fe_2,-0.015936778422576226
Fe_3,0.012365582372498364
Fe_4,0.03591505632252024
Fe_5,0.050037370013042905
Fe_6,0.049393333911023976
Cd_1,-0.009196875887333571
Cd_2,-0.023334065826331574
Cd_3,-0.028762738749805825
Cd_4,-0.02531523089939945
Cd_5,-0.032353708717376445
Cd_6,-0.03315672981426068
Zn_1,-0.017656204992301104
Zn_2,-0.031857519528913886
Zn_3,-0.03617690418722246
Zn_4,-0.04596982208863495
Zn_5,-0.045084639635053526
Zn_6,-0.028998712155753906
Cu_1,0.00014576093146026391
Cu_2,0.006251364291058713
Cu_3,0.02122114238808203
Cu_4,0.03845574186965658
Cu_5,0.051116044123720485
Cu_6,0.07189609712810106
Pb_1,-0.0010933647009897973
Pb_2,-0.006854456987337749
Pb_3,-0.019390249187202183
Pb_4,-0.029216219137251538
Pb_5,-0.03397797006586791
Pb_6,-0.032567684101573714
