,inaA
Cr_1,-0.005124551386880414
Cr_2,-0.006068874913133429
Cr_3,0.002835023598783053
Cr_4,0.008134990825752926
Cr_5,0.019499485587102613
Cr_6,0.03486421319129554
Fe_1,-0.00023809352629347607
Fe_2,0.017931875857542738
Fe_3,0.028749794976795414
Fe_4,0.044248856302335715
Fe_5,0.05390686194122105
Fe_6,0.07373824990722826
Cd_1,0.0008346671235116653
Cd_2,0.010146853648127186
Cd_3,0.015434305672205238
Cd_4,0.020436312365672542
Cd_5,0.027866115731398043
Cd_6,0.0306744554377104
Zn_1,0.05987415954404157
Zn_2,0.2928831427462535
Zn_3,0.5168443427092256
Zn_4,0.6325996367390034
Zn_5,0.6781598135299229
Zn_6,0.6811282112582463
Cu_1,0.011352669103653882
Cu_2,0.03157734134863567
Cu_3,0.046441380780578016
Cu_4,0.053233343660285266
Cu_5,0.057162651242744465
Cu_6,0.05310216314997033
Pb_1,0.03728994236290495
Pb_2,0.06146895336211638
Pb_3,0.14057660805473893
Pb_4,0.1876182986616794
Pb_5,0.22159747337051372
Pb_6,0.2811704250280125
