,ftsJ
Cr_1,-0.014721010774004284
Cr_2,-0.019389937413594262
Cr_3,-0.015980022825214987
Cr_4,-0.014373683945421697
Cr_5,-0.008114320430649566
Cr_6,0.0017875428218396504
Fe_1,-0.007814171026673193
Fe_2,-0.0017018549592894988
Fe_3,0.02219155250729035
Fe_4,0.05880558726959253
Fe_5,0.10830387157435672
Fe_6,0.12858858276916155
Cd_1,0.0041387081027483225
Cd_2,0.0027188227947488467
Cd_3,0.004027606630910122
Cd_4,0.012215224843822528
Cd_5,0.012668872756286384
Cd_6,0.014910205861727343
Zn_1,-0.007411142724487275
Zn_2,0.022761549130621728
Zn_3,0.06739758676340935
Zn_4,0.12735616151897394
Zn_5,0.16746397638084842
Zn_6,0.21031795119342675
Cu_1,-0.00015626080144325602
Cu_2,0.007409121939264708
Cu_3,0.01387725350978153
Cu_4,0.01862054214688909
Cu_5,0.01283266446797404
Cu_6,0.0012172462468860831
Pb_1,0.004625616991656966
Pb_2,0.010645449318659359
Pb_3,0.015127646197439634
Pb_4,0.02176189095940891
Pb_5,0.030258452708099612
Pb_6,0.03890209298028501
