,A,RpoH
R2,,0.004654580846798706
xmin,,-1.3342842445
xmid,,
xmax,,4.1537368575
ystart,,1.8162758867742772
yend,,4.50850024432334
control__wt_glc__1,-0.2165690292,-0.0025814055
control__wt_glc__2,0.2165690292,0.0025814055
fur__wt_dpd__1,2.7684899482,0.9163972805
fur__wt_dpd__2,2.5834025605,1.0405267245
fur__wt_fe__1,-0.19135402340000002,-0.5084434435
fur__wt_fe__2,0.202208297,-0.49362730250000003
fur__delfur_dpd__1,1.1626404826,0.8341778645
fur__delfur_dpd__2,0.9942419344000001,0.8030110295
fur__delfur_fe2__1,3.6212275058,0.035653884500000003
fur__delfur_fe2__2,3.723415132,0.09435808450000001
acid__wt_ph5__1,2.9288528006,0.0792176395
acid__wt_ph5__2,3.1677772243,-0.0604358165
acid__delgadx_ph5__2,2.7646095366,-0.0097070575
acid__delgadw_ph5__1,4.0144182279,-0.061254354500000004
acid__delgadw_ph5__2,3.5741453592,-0.026058295500000002
acid__delgade_ph5__1,3.1739954868,-0.052038598500000005
acid__delgade_ph5__2,3.4569068339,-0.0777910135
oxidative__wt_pq__1,-0.1944244483,1.3085100935
oxidative__wt_pq__2,-0.0478260462,1.4555448125
oxidative__deloxyr_pq__1,1.5688793160999999,1.1684874925
oxidative__deloxyr_pq__2,1.6436764398,1.2458497015
oxidative__delsoxr_pq__1,-1.9654510149000002,1.0304058985
oxidative__delsoxr_pq__2,-1.8496164848,0.9661748225000001
oxidative__delsoxs_pq__1,1.2237428333,1.2611123714999999
oxidative__delsoxs_pq__2,1.4589241723000002,1.3326696855
nac_ntrc__wt_csn__1,1.4392519307,0.6784466145
nac_ntrc__wt_csn__2,1.5532857597,0.5890524185
nac_ntrc__wt_cytd__1,-0.4524669877,0.44245937150000003
nac_ntrc__wt_cytd__2,-0.38881855390000003,0.4587771765
nac_ntrc__wt_gln__1,0.7189457279,0.7322602265
nac_ntrc__wt_gln__2,0.8500031174,0.8357734755
