,yadF
Cr_1,0.0013661970704274807
Cr_2,-0.0006152109797964693
Cr_3,-0.006866570294233807
Cr_4,-0.012934651138850731
Cr_5,-0.017337983529641526
Cr_6,-0.01720313959628839
Fe_1,-0.0001450445238777897
Fe_2,0.01410857458973164
Fe_3,0.043697631088722856
Fe_4,0.05690046684333752
Fe_5,0.06667220582362922
Fe_6,0.07463044139555994
Cd_1,0.007040108122518068
Cd_2,0.011611233279777694
Cd_3,0.012589637098729164
Cd_4,0.015107104716398862
Cd_5,0.009687152917659756
Cd_6,0.013296984289867364
Zn_1,0.01531996915936048
Zn_2,0.024658509038929924
Zn_3,0.03169977089600362
Zn_4,0.03906577937915047
Zn_5,0.0502030082559346
Zn_6,0.05642639721040055
Cu_1,0.0005533344527402874
Cu_2,0.0014759072326433948
Cu_3,0.006003906298734534
Cu_4,0.00419070963648495
Cu_5,0.007205091982973519
Cu_6,0.005931571086399295
Pb_1,-0.0017973709126260949
Pb_2,-0.0024044067414133994
Pb_3,0.0045791095965095115
Pb_4,0.012820042807729262
Pb_5,0.022253176080324403
Pb_6,0.03307723919768868
