,yifM_2
Cr_1,-0.0029244323321875763
Cr_2,-0.008881522793917684
Cr_3,-0.01053300505474773
Cr_4,-0.005527512651562342
Cr_5,0.01167541083947109
Cr_6,0.025481485404912286
Fe_1,-0.023286533534998724
Fe_2,-0.06708925919757652
Fe_3,-0.0994210323957224
Fe_4,-0.1423381500635668
Fe_5,-0.1736711409595974
Fe_6,-0.1989589777379646
Cd_1,-0.001981506984414023
Cd_2,0.002030798522099505
Cd_3,0.001768824287961459
Cd_4,0.005408467311968565
Cd_5,0.010682346693882851
Cd_6,0.023136027859322218
Zn_1,0.10999324172409433
Zn_2,0.15861490004451856
Zn_3,0.11920938877383555
Zn_4,0.13385026416703225
Zn_5,0.29007076772000623
Zn_6,0.3882456967926742
Cu_1,0.008577385942652867
Cu_2,0.020689494915352567
Cu_3,0.0234184198615364
Cu_4,0.024039544921775503
Cu_5,0.03066689764158538
Cu_6,0.04282876033670943
Pb_1,-0.005908932452299878
Pb_2,-0.015525564559077337
Pb_3,-0.013588542312542546
Pb_4,-0.010709649973831562
Pb_5,-0.00987175388724541
Pb_6,0.0020011264792930477
