gene_id,USA300HOU_RS14970
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,DUF3125 domain-containing protein
cog,<i> Not Available </i>
regulator(s),
link,"<a href=""nan"">AureoWiki</a>"
