,ybaB
Cr_1,-0.0006845195225921053
Cr_2,0.005091796016807342
Cr_3,0.005526092422452477
Cr_4,0.010119714768958002
Cr_5,0.011173717523908257
Cr_6,0.01569395817052415
Fe_1,-0.033706283919100466
Fe_2,-0.08538157607506552
Fe_3,-0.10238947369782543
Fe_4,-0.11918849258814798
Fe_5,-0.12831510095046533
Fe_6,-0.1301910711064564
Cd_1,0.008469771031191009
Cd_2,0.020862266847777654
Cd_3,0.03877500221525537
Cd_4,0.05896060144156855
Cd_5,0.07048247051878835
Cd_6,0.0830331401617202
Zn_1,-0.0025062107043210768
Zn_2,-0.025594118743474014
Zn_3,-0.037007367084509885
Zn_4,-0.0395488692943762
Zn_5,-0.029944066954566383
Zn_6,-0.00791496038328158
Cu_1,0.0058010418402854045
Cu_2,0.010661925022145885
Cu_3,0.02502719633804193
Cu_4,0.033961554433065165
Cu_5,0.0356246295012812
Cu_6,0.042474429539922746
Pb_1,0.012673058510548016
Pb_2,0.0135666617636601
Pb_3,0.019224130552924996
Pb_4,0.039988780415699386
Pb_5,0.04194618815558051
Pb_6,0.04406635827293805
