,A,TreR
R2,,0.0
xmin,,-5.0923681795
xmid,,
xmax,,0.7493454765000003
ystart,,-1.7279850080297865
yend,,-1.7279850080297865
Rich_TF_over_stress__BHIN_Growth_Late__1,1.6918531287587886,-0.1962776970000002
Rich_TF_over_stress__BHIN_Growth_Late__2,3.039883154668739,0.0257473460000001
Rich_TF_over_stress__BHIN_Growth_Mid__1,0.5067334367676036,-0.3041173489999997
Rich_TF_over_stress__BHIN_Growth_Mid__2,1.7063506445591885,-1.593261634
Rich_TF_over_stress__BHIN_Growth_Stat__1,-2.112734091426712,-2.912654826
Rich_TF_over_stress__BHIN_Growth_Stat__2,-1.2048875930882297,-2.302046589
Rich_TF_over_stress__LBv2_Growth_Late__1,-5.3943410056885295,-0.4461078540000001
Rich_TF_over_stress__LBv2_Growth_Late__2,-3.543828607371903,-0.876739986
Rich_TF_over_stress__LBv2_Growth_Mid__1,-0.2501122044880992,0.2930334339999998
Rich_TF_over_stress__LBv2_Growth_Mid__2,0.2501122044880928,-0.2930334339999998
Rich_TF_over_stress__LBv2_Growth_Stat__1,-9.804659263694193,-1.429425797
Rich_TF_over_stress__LBv2_Growth_Stat__2,-7.481567764893438,-1.981407318
Rich_TF_over_stress__MHB_Rich_Mid__1,-4.465771647851906,-0.5258854529999999
Rich_TF_over_stress__MHB_Rich_Mid__2,-3.383513383999932,-0.79589613
Rich_TF_over_stress__NBO_Rich_Mid__1,-2.675010517993829,0.1659040369999997
Rich_TF_over_stress__NBO_Rich_Mid__2,-2.782602140995343,-0.696957797
Carbons__M9Na_Arabinose_Mid__1,-0.7037335257595606,-0.9344346085000002
Carbons__M9Na_Arabinose_Mid__2,-3.569993545807645,-0.4569928555000002
Carbons__M9Na_Galactose_Mid__1,-1.4622480899746837,-0.1209573134999999
Carbons__M9Na_Galactose_Mid__2,-0.2899146945141208,-0.4901579025
Carbons__M9Na_GlcNAcGrowth_Late__1,0.4024663901857064,-1.3881268445000003
Carbons__M9Na_GlcNAcGrowth_Late__2,0.3048216173502888,-0.9881576595000006
Carbons__M9Na_GlcNAcGrowth_Mid__1,0.633071964256287,-0.5757617135000004
Carbons__M9Na_GlcNAcGrowth_Mid__2,-0.6684693182514154,-0.8145015684999999
Carbons__M9Na_GlcNAcGrowth_Stat__1,2.803184886367581,-4.2428534215
Carbons__M9Na_GlcNAcGrowth_Stat__2,3.0742045074098154,-3.8998587875
Carbons__M9Na_GlcNAc_Mid__1,-2.945941865848492,-0.2682767245000006
Carbons__M9Na_GlcNAc_Mid__2,-2.289468363405202,-0.6835322435000002
Carbons__M9Na_Gluconate_Mid__1,-1.472873324327994,-1.1909410244999998
Carbons__M9Na_Gluconate_Mid__2,1.364608997086346,-3.0532283555000004
Carbons__M9Na_Glucosamine_Mid__1,-1.1649878317420646,-3.0675792665
Carbons__M9Na_Glucosamine_Mid__2,-2.356035032281416,-2.5801015835000003
Carbons__M9Na_Glycerol_Mid__1,-3.353648303738636,-1.1250004965000002
Carbons__M9Na_Glycerol_Mid__2,-1.810428939384058,-1.0935523555
Carbons__M9Na_Maltose_Mid__1,1.1948880930963994,-0.3716039735000001
Carbons__M9Na_Maltose_Mid__2,-2.767785515273008,0.1484866354999994
Carbons__M9Na_Mannitol_Mid__1,-1.418582391571255,-0.6899966355
Carbons__M9Na_Mannitol_Mid__2,-0.8574978908271247,-0.5774550445000006
Carbons__M9Na_Trehalose_Mid__1,11.40068745873127,-0.5169328895000005
Carbons__M9Na_Trehalose_Mid__2,15.66109870065259,0.1846702215000002
Carbons__M9Na_ethanol_Mid__1,-0.6761290778710428,-2.8114335175000003
Carbons__M9Na_ethanol_Mid__2,-2.033017467948764,-5.0923681795
Carbons__M9Na_fructose_Mid__1,-7.341656084619427,-0.6834478065000003
Carbons__M9Na_fructose_Mid__2,-6.640046455510668,-0.8915795165000002
Carbons__M9Na_fumarate_Mid__1,3.079394613110519,-2.3840458075
Carbons__M9Na_fumarate_Mid__2,1.1272957851541718,-2.3582606045000003
Carbons__M9Na_glucoseGrowth_Late__1,-1.3987887218796875,-1.2000244535000002
Carbons__M9Na_glucoseGrowth_Late__2,-2.4276274392427912,-0.4335266125000006
Carbons__M9Na_glucoseGrowth_Mid__1,-0.9631162732631592,-0.1973659814999999
Carbons__M9Na_glucoseGrowth_Mid__2,0.9631162732631544,0.1973659814999999
Carbons__M9Na_glucoseGrowth_Stat__1,0.6250840229697944,-2.5101766365
Carbons__M9Na_glucoseGrowth_Stat__2,1.488734872111002,-2.8854942155
Carbons__M9Na_ribose_Mid__1,0.0951371325604932,-0.6007297835000003
Carbons__M9Na_ribose_Mid__2,2.004257347123349,-1.1897690975000002
Carbons__M9Na_succinate_Mid__1,-4.285384655467651,0.0671933285000001
Carbons__M9Na_succinate_Mid__2,-2.821891133219693,-0.0901774104999999
Carbons__M9Na_sucrose_Mid__1,9.037300709940782,-2.6438811645
Carbons__M9Na_sucrose_Mid__2,8.47087221007902,-3.3360046085
Rich_TF_over_stress__LBv2_HapROver_Late__1,-8.516248548859398,0.5613891139999998
Rich_TF_over_stress__LBv2_HapROver_Late__2,-7.882737404005472,0.3536338680000002
Rich_TF_over_stress__LBv2_HapROver_Mid__1,-6.585703332900258,0.2530663430000004
Rich_TF_over_stress__LBv2_HapROver_Mid__2,-7.262041365675822,-0.281201443
Rich_TF_over_stress__LBv2_HapROver_Stat__1,-4.874431989503106,-0.7589651609999999
Rich_TF_over_stress__LBv2_HapROver_Stat__2,-5.364324355691735,-1.107572088
Rich_TF_over_stress__LBv2_LuxOOver_Late__1,-7.636137659916588,-0.8086819329999999
Rich_TF_over_stress__LBv2_LuxOOver_Late__2,-8.562162315784498,-0.7676421739999997
Rich_TF_over_stress__LBv2_LuxOOver_Mid__1,-5.197428220383333,-1.542504772
Rich_TF_over_stress__LBv2_LuxOOver_Mid__2,-5.512874997698069,-1.2117556079999998
Rich_TF_over_stress__LBv2_LuxOOver_Stat__1,-3.3005627359599408,-0.5208652899999997
Rich_TF_over_stress__LBv2_LuxOOver_Stat__2,-3.612471630641141,-0.992356876
Rich_TF_over_stress__LBv2_QstROver_Late__1,-8.36335658716634,-2.284436531
Rich_TF_over_stress__LBv2_QstROver_Late__2,-8.121177353019547,-2.134019622
Rich_TF_over_stress__LBv2_QstROver_Mid__1,-6.045866167224723,-2.396087166
Rich_TF_over_stress__LBv2_QstROver_Mid__2,-5.480708956748939,-1.515594449
Rich_TF_over_stress__LBv2_QstROver_Stat__1,2.009770686299025,0.0052348450000003
Rich_TF_over_stress__LBv2_QstROver_Stat__2,0.6234058182071996,0.0983250470000003
Rich_TF_over_stress__LBv2_TfoXOver_Late__1,-7.314615935770625,-2.754891876
Rich_TF_over_stress__LBv2_TfoXOver_Late__2,-7.893388529230938,-2.491516462
Rich_TF_over_stress__LBv2_TfoXOver_Mid__1,-8.099237799828641,-0.4819888939999996
Rich_TF_over_stress__LBv2_TfoXOver_Mid__2,-7.414366060625514,-0.266224609
Rich_TF_over_stress__LBv2_TfoXOver_Stat__1,2.445883130867501,-0.366618694
Rich_TF_over_stress__LBv2_TfoXOver_Stat__2,2.3889379566865365,-0.5522213099999997
Salinity and Temperature Variations__20-300-T1__1,0.7034142516338489,0.3474867320000001
Salinity and Temperature Variations__20-300-T1__2,-0.8719280538615287,0.416062718
Salinity and Temperature Variations__20-300-T2__1,-0.7034142516338457,-0.3474867320000001
Salinity and Temperature Variations__20-300-T2__2,-0.1647343880425092,0.5965532859999998
Rich_TF_over_stress__LBv2_LowpH_Mid__1,0.3021344525772476,-0.6528240689999998
Rich_TF_over_stress__LBv2_LowpH_Mid__2,-0.397946637353572,-0.2699975059999997
Rich_TF_over_stress__LBv2_highSalt_Mid__1,-10.680298040734508,-2.087791221
Rich_TF_over_stress__LBv2_highSalt_Mid__2,-11.8410644684847,-1.5270870839999997
Carbons__M9Na_glucoseKanamycin_Mid__1,5.362369195699821,-1.6999539025
Carbons__M9Na_glucoseKanamycin_Mid__2,3.51471569043185,-2.0291596245
microgravity__R_wt__1,-0.2858392293510673,0.1624855764999999
microgravity__R_wt__2,0.2858392293510721,-0.1624855764999999
microgravity__R_s__1,-1.6770182338515929,-0.2540395554999994
microgravity__R_s__2,-1.2852824746745888,0.0870080065000005
Competence_condition__OSS_TfoXOver_Stat__1,-0.7319160560276883,0.1056101874999999
Competence_condition__OSS_TfoXOver_Stat__2,0.987942872885152,-1.4100516735
Competence_condition__OSS_VectorOnly_Stat__1,0.0924526106551791,-0.2372228045
Competence_condition__OSS_VectorOnly_Stat__2,-0.0924526106551831,0.2372228045
Competence_Recovery__LBv2_TfoXOver_Recov__1,-4.254533662910953,-0.6197966444999996
Competence_Recovery__LBv2_TfoXOver_Recov__2,-4.507900663645163,-0.6404003234999998
Competence_Recovery__LBv2_VectorOnly_Recov__1,-1.2872581399814962,0.7493454765000003
Competence_Recovery__LBv2_VectorOnly_Recov__2,1.2872581399814993,-0.7493454764999998
