locus,gene_weight,gene_name,gene_product,cog,operon,regulator,TreR,link
PN96_RS10105,0.3441761505380473,treB,PTS trehalose transporter subunit IIBC,Carbohydrate transport and metabolism,Op2441,"Crp,TreR,TreR",True,
PN96_RS10100,0.3212788264587046,treC,alpha%2Calpha-phosphotrehalase,Carbohydrate transport and metabolism,Op2441,TreR,True,
PN96_RS15880,0.1779642589757412,PN96_RS15880,hypothetical protein,Cell wall/membrane/envelope biogenesis,Op166,,False,
