,ytfQ
Cr_1,0.005273780585769002
Cr_2,0.007444725497726011
Cr_3,0.012843224287656541
Cr_4,0.012556881933447842
Cr_5,0.010519129367637893
Cr_6,0.01030997815754697
Fe_1,-0.00034298574667178654
Fe_2,-0.013506362326303823
Fe_3,-0.023112849223967686
Fe_4,-0.034556769995044374
Fe_5,-0.04860646752510514
Fe_6,-0.05295780505847508
Cd_1,2.054003583942572e-05
Cd_2,0.00044518853980850715
Cd_3,-0.0017148217414647818
Cd_4,0.00036690542679247793
Cd_5,-0.003048745869833984
Cd_6,-0.0017662127001133094
Zn_1,-0.009082455783991588
Zn_2,-0.013440702259157538
Zn_3,-0.013787651972503121
Zn_4,0.004260558006150051
Zn_5,0.019617227741100488
Zn_6,0.02859009733168773
Cu_1,-0.0009479601388570998
Cu_2,0.00014802908326955248
Cu_3,0.009863437663931435
Cu_4,0.01819661166692192
Cu_5,0.020468480314173025
Cu_6,0.024438809369052468
Pb_1,0.005476582262363004
Pb_2,0.009427323430106313
Pb_3,0.021807636338793613
Pb_4,0.032996173120020636
Pb_5,0.04666366856232998
Pb_6,0.05599886968369145
