,gsk
Cr_1,0.0005625724901911238
Cr_2,0.001083405823729347
Cr_3,0.0021141951729176734
Cr_4,0.002539088437197613
Cr_5,0.004566745742801536
Cr_6,0.004121577693195682
Fe_1,0.000823226769459891
Fe_2,0.0020896019851636637
Fe_3,-0.0009799270903642569
Fe_4,-0.008971894525819793
Fe_5,-0.00900100158830929
Fe_6,-0.003171649613351168
Cd_1,-0.0001321569167500114
Cd_2,0.001372565485164521
Cd_3,0.002647644801834305
Cd_4,0.005017328940977109
Cd_5,0.0024986818409184924
Cd_6,0.00705681409305849
Zn_1,-0.0015124959925194757
Zn_2,-0.0014523343713207302
Zn_3,0.0029880389142753912
Zn_4,0.008540888861918044
Zn_5,0.014873314991633354
Zn_6,0.02078643312434588
Cu_1,0.0017876044519418183
Cu_2,0.0059591329031234855
Cu_3,0.007565547485432187
Cu_4,0.004992372793023458
Cu_5,0.004279012737839501
Cu_6,0.004538254144822322
Pb_1,0.007231163273370508
Pb_2,0.014381329094633674
Pb_3,0.021064612158500792
Pb_4,0.02516246901532146
Pb_5,0.025354076495961782
Pb_6,0.034447294029349235
