,gssA
Cr_1,0.00814468639433729
Cr_2,0.017190714124818183
Cr_3,0.027149778623237544
Cr_4,0.035108223113605355
Cr_5,0.04016059761158735
Cr_6,0.04204974303170023
Fe_1,-0.006653140009747215
Fe_2,-0.01916428954676446
Fe_3,-0.029203712858316588
Fe_4,-0.04673729872550268
Fe_5,-0.059457697052561785
Fe_6,-0.0632878262482148
Cd_1,0.004611881661845461
Cd_2,0.010877925257278927
Cd_3,0.01973210669653467
Cd_4,0.026262222977880924
Cd_5,0.02629980597836921
Cd_6,0.033416590967262995
Zn_1,-0.00011666516600882864
Zn_2,-0.003976272791302407
Zn_3,-0.0010675618187240116
Zn_4,0.00393067049388573
Zn_5,0.006990318684911056
Zn_6,0.014383821796973962
Cu_1,0.0067841872313710964
Cu_2,0.017634613539572148
Cu_3,0.023159365045991653
Cu_4,0.02800794785747208
Cu_5,0.038354177611109035
Cu_6,0.05113619503891095
Pb_1,0.009077679236070136
Pb_2,0.018193116197576038
Pb_3,0.031586367109482684
Pb_4,0.04603946381742433
Pb_5,0.06354611040347631
Pb_6,0.07881447270793766
