,galE
Cr_1,-0.006386689906986232
Cr_2,-0.013629229270382813
Cr_3,-0.01738532836990937
Cr_4,-0.015937268378581896
Cr_5,-0.016748305199998113
Cr_6,-0.01599899317216572
Fe_1,-0.008434824753138337
Fe_2,-0.0201440039330062
Fe_3,-0.02430099030922977
Fe_4,-0.027856621515082114
Fe_5,-0.02598067210122735
Fe_6,-0.02345588519532054
Cd_1,0.0004450561680870821
Cd_2,4.5112167942467277e-05
Cd_3,0.0009024964668556961
Cd_4,0.0009563034654941943
Cd_5,-0.0049638044755839885
Cd_6,-0.005923289805679092
Zn_1,-0.006569137369919119
Zn_2,-0.0034376775681768585
Zn_3,0.010405323094676127
Zn_4,0.026576367316291892
Zn_5,0.04327216860327728
Zn_6,0.058173973380112536
Cu_1,-0.0005991386897249306
Cu_2,-0.0011665570459334193
Cu_3,-0.001302353837069454
Cu_4,-0.006666421846281915
Cu_5,-0.010686578427173587
Cu_6,-0.013232217755432192
Pb_1,0.0036401905658955632
Pb_2,0.010628182305404469
Pb_3,0.020844844691411228
Pb_4,0.027223804461972517
Pb_5,0.04010390014602158
Pb_6,0.055383789772364266
