,malE
Cr_1,-0.0018197492361535185
Cr_2,-0.0027907748408646234
Cr_3,-0.007528881069557002
Cr_4,-0.0068268772152335145
Cr_5,-0.009283572499149684
Cr_6,-0.011709696009551098
Fe_1,-0.015650715580229572
Fe_2,-0.028525717457816593
Fe_3,-0.02408754901875389
Fe_4,-0.026616210719287527
Fe_5,-0.02904781130011793
Fe_6,-0.032342171366311595
Cd_1,0.0005355676623802287
Cd_2,-0.0020664005975061647
Cd_3,-0.005344097023779322
Cd_4,-0.009109260148065896
Cd_5,-0.011741740192271442
Cd_6,-0.0046144540302974855
Zn_1,-0.005767305274123011
Zn_2,0.00272604331978627
Zn_3,0.021114097980197373
Zn_4,0.04161580084200446
Zn_5,0.059377111285587335
Zn_6,0.08019615513592812
Cu_1,0.0013939131012518588
Cu_2,0.00016258496998412345
Cu_3,-0.00798415789382352
Cu_4,-0.00345220867156207
Cu_5,-0.0049734995767683815
Cu_6,0.003706516105592389
Pb_1,-0.010634591164445446
Pb_2,-0.018875899256731644
Pb_3,-0.017544199839872966
Pb_4,-0.0229899801789584
Pb_5,-0.02296013157275146
Pb_6,-0.018961269908896447
