,pdxY
Cr_1,-6.659325880242005e-05
Cr_2,-0.0014681241728896307
Cr_3,-0.005072026786139206
Cr_4,-0.006138367531337599
Cr_5,-0.0064714431972321155
Cr_6,-0.00882380405788547
Fe_1,-0.009793877543286294
Fe_2,-0.026079667901307668
Fe_3,-0.0410462422811624
Fe_4,-0.06053058361686805
Fe_5,-0.076714215443015
Fe_6,-0.08944271061941036
Cd_1,0.006327919327691538
Cd_2,0.01623348811987005
Cd_3,0.0260369798848367
Cd_4,0.033126942137836644
Cd_5,0.03192806119911827
Cd_6,0.03705888353561793
Zn_1,4.937886004037368e-05
Zn_2,-0.0013010349547455768
Zn_3,0.0045432266425648
Zn_4,0.012822370952259313
Zn_5,0.016579178498886
Zn_6,0.01954541601656013
Cu_1,0.0033190375633524237
Cu_2,0.009518540955599952
Cu_3,0.017338254960979082
Cu_4,0.022608384589627155
Cu_5,0.029757108555738127
Cu_6,0.037812152011066656
Pb_1,0.0009851318644171002
Pb_2,0.0007691316914404882
Pb_3,0.003927607638074889
Pb_4,0.003992807177800078
Pb_5,0.004151348516974345
Pb_6,0.0045185739145803365
