,cysH
Cr_1,-0.0019155956384769128
Cr_2,0.0010871916212098786
Cr_3,0.007424388855192788
Cr_4,0.01217940463088853
Cr_5,0.016869690404184123
Cr_6,0.022025200665683812
Fe_1,-0.00888258269273818
Fe_2,-0.028820827501638436
Fe_3,-0.043054057887602686
Fe_4,-0.057392820064502074
Fe_5,-0.06731043314315259
Fe_6,-0.06982572709124141
Cd_1,-0.00017304554739229543
Cd_2,-0.0021571195741339724
Cd_3,0.0005929562582195875
Cd_4,0.006992834624672813
Cd_5,0.007669205774765095
Cd_6,0.009080175106758088
Zn_1,-0.005388525219868653
Zn_2,-0.01062276349116717
Zn_3,-0.010430343455731612
Zn_4,-0.005412274718072261
Zn_5,0.005045776351907318
Zn_6,0.022706472736174942
Cu_1,-0.00028962906797412423
Cu_2,0.0024803716604422828
Cu_3,0.0040533188952238145
Cu_4,0.0035480050127652844
Cu_5,0.0024087474739938513
Cu_6,0.005274004683991389
Pb_1,0.011533184693294313
Pb_2,0.02093751794078562
Pb_3,0.033953217801292346
Pb_4,0.05264149404993895
Pb_5,0.06982930689363254
Pb_6,0.08500637543021089
