,A,CovR
R2,,0.10169022631260305
xmin,,-2.7938274106
xmid,,0.1891635831848634
xmax,,1.1180603302
ystart,,-1.631068713620876
yend,,-7.919491917541233
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,-0.9105888886,-0.40441588170000003
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,-1.5219154000000001,0.6109836465
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,2.4325042885,-0.2065677648
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,-3.2927932938,-1.6266626144
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,-3.0596131235,-1.6077561596
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,-6.3717295648,-0.4696505177
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,-1.0140197197,-1.9800552427
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,-0.8941259177,-1.8756283725
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,-2.7495440971000003,-1.4261012491
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,-0.173717423,0.0571555304
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,0.5364517576,-0.1420032166
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,-0.4512989472,0.024880377800000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,0.4334607858,-0.0672521135
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,2.6315164494000003,-0.1632829193
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,-0.8245664119,0.2804653948
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,-1.3130869537,0.07702081200000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,-0.12245763300000001,-0.4032428778
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,-0.8445166668,-0.1888377943
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,0.8349324306,0.3349101131
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,-1.1901527402,0.16515789050000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,0.8091416844,-0.0661497427
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,0.3103823817,-0.0281893125
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,1.4923885852,-0.1602399599
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,0.387744921,-0.0005259845
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,-1.5520381512,0.29014361050000004
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,-0.4643017394,0.0378056365
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,-2.8952378367,0.2154065986
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,0.15088665580000002,0.047001421700000004
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,-0.0163612369,-0.1022082249
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,2.2608300885,-0.20801524000000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,-1.1199839398,-1.0826580961
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,-2.7716145462,-0.9106099192
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,-1.5806960686,-0.6019322959
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,-1.3633061213,-0.8713121163
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,-4.1444268923,-0.48355350100000005
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,-1.1664006337,-1.16209567
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,-1.0441414968,-1.2652766565
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,-1.6069954587000002,-0.8645781516000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,-1.4943216892,-1.0939931835
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,-0.6344823182,-1.1156021344
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,-1.4051657057,-0.9124966582
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,-3.0239811019,-0.5680504649
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,-2.1778488081,-1.0724384516
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,-1.3705469784,-1.2811377927
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,-0.8378312252000001,-1.3058777854999999
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,-1.7817472757,-1.0060077783
