,rna
Cr_1,0.004331069756871666
Cr_2,0.012316638143449828
Cr_3,0.020994318327629824
Cr_4,0.02912879100102695
Cr_5,0.03370554638024259
Cr_6,0.03896965322172873
Fe_1,-0.007417493640385242
Fe_2,-0.02099314780662723
Fe_3,-0.036790781781709164
Fe_4,-0.05954825918128194
Fe_5,-0.07339945151419447
Fe_6,-0.09037715919521126
Cd_1,-0.0012786780144663098
Cd_2,0.001207618435420458
Cd_3,0.005163192222551356
Cd_4,0.005930873391275915
Cd_5,0.003402861576615992
Cd_6,0.009759609722599837
Zn_1,-0.006056663495040844
Zn_2,-0.010930118182479541
Zn_3,-0.005136746746871067
Zn_4,0.007769599881178383
Zn_5,0.025216277506781657
Zn_6,0.0402057961446517
Cu_1,-0.0016509724264120965
Cu_2,0.001956174691421979
Cu_3,0.006493310576717951
Cu_4,0.016239965891065373
Cu_5,0.025369102496271025
Cu_6,0.036975524147167683
Pb_1,0.00691838937755481
Pb_2,0.010015022700980352
Pb_3,0.02171991012471025
Pb_4,0.034945450849683715
Pb_5,0.0452129131184598
Pb_6,0.06570628211972139
