,murB
Cr_1,0.0025676534535959013
Cr_2,0.008073569143270875
Cr_3,0.013254177991476357
Cr_4,0.015390608379669591
Cr_5,0.01702226676840164
Cr_6,0.018838791344738908
Fe_1,-0.004404658117272363
Fe_2,-0.0004349912688369693
Fe_3,0.011222421534924957
Fe_4,0.01756809447872169
Fe_5,0.02684526217183669
Fe_6,0.03457805694860853
Cd_1,-0.002449976579561888
Cd_2,-0.0013040031326803324
Cd_3,0.000580923419366345
Cd_4,-0.0013597302424364285
Cd_5,-0.0036056351296413353
Cd_6,0.00063071158262096
Zn_1,-0.008814159810167166
Zn_2,-0.003546503329768395
Zn_3,0.008191955313256841
Zn_4,0.028251613532239882
Zn_5,0.046094028524303096
Zn_6,0.059881698232577774
Cu_1,1.657495878352904e-06
Cu_2,0.0018758557444583067
Cu_3,0.008986983535757519
Cu_4,0.014332092067065856
Cu_5,0.02210389452880209
Cu_6,0.029944523227001463
Pb_1,0.009229509936339472
Pb_2,0.0174989658940719
Pb_3,0.028409841249461863
Pb_4,0.03431919918124832
Pb_5,0.043852754620564934
Pb_6,0.05406250697820337
