,hda
Cr_1,-0.0030300752863085642
Cr_2,-0.003344035790590377
Cr_3,-0.008018398241715559
Cr_4,-0.016919353530874006
Cr_5,-0.02472466107929021
Cr_6,-0.03106982759129712
Fe_1,-0.008485251332486475
Fe_2,-0.0192301384371536
Fe_3,-0.02708674541720309
Fe_4,-0.03915663696206429
Fe_5,-0.045231065179072105
Fe_6,-0.05020180096375747
Cd_1,-0.0034816150844254076
Cd_2,-0.00690103758199191
Cd_3,-0.007116523906231134
Cd_4,-0.007873972060471955
Cd_5,-0.012208760052413621
Cd_6,-0.009913231958131844
Zn_1,0.0017087236288504946
Zn_2,0.012360173684613654
Zn_3,0.033024101193244115
Zn_4,0.061340285251850785
Zn_5,0.0854906612779432
Zn_6,0.10580202353420463
Cu_1,0.00204787160215504
Cu_2,0.006160031143982535
Cu_3,0.011448243911092264
Cu_4,0.01486885156085534
Cu_5,0.0194734156710115
Cu_6,0.02882535241864858
Pb_1,-0.0016105441555315475
Pb_2,-0.0038998536034622906
Pb_3,-0.002588772128388833
Pb_4,-0.0009512130160146859
Pb_5,0.0005432863497748684
Pb_6,0.0026796618213372736
