,-0.19777904517272726,-0.1758035957090909,-0.15382814624545454,-0.13185269678181818,-0.10987724731818183,-0.08790179785454547,-0.0659263483909091,-0.04395089892727275,-0.021975449463636387,-2.7755575615628914e-17,0.021975449463636332,0.04395089892727269,0.06592634839090905,0.08790179785454544,0.10987724731818177,0.1318526967818181,0.1538281462454545,0.17580359570909088,0.1977790451727272,0.21975449463636354
thresh,-0.12086497205,0.12086497205,1,,,,,,,,,,,,,,,,,
unreg,1,0,1,1,0,0,11,39,383,925,291,51,7,2,1,0,4,4,2,0
unreg_genes,['yceD'],[],['xpt'],['pbuX'],[],[],[],[],[],[],[],[],[],[],[],[],['sagG' 'sagI' 'sagB' 'sagC'],['SP5448_06715' 'sagH' 'sagA' 'sagD'],['SP5448_00890' 'sagE'],[]
