,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,1.6176083737826568,3.0,0.0,-0.9950285603000001,1.0,-0.8714617876,2.0,1.8664903479000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,4.4249286433,3.3573472375122395,3.0,3.0,6.3681263557,4.0,6.3584575745,5.0,0.5482019997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,7.495213439666667,0.0817687354435658,3.0,6.0,7.4684891743,7.0,7.5870006087,8.0,7.430150536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-4.761894582353913e-12,1.8826221931882952,21.0,9.0,0.9074042474,10.0,0.5364557975,11.0,0.1758454563,12.0,0.5275586798,13.0,-0.5900102179,14.0,-2.6925020547000003,15.0,0.5672487682,16.0,-2.1103194473,17.0,-3.3107441755,18.0,5.1711975333,19.0,0.5917585171,20.0,0.3049515107,21.0,-0.48811636950000004,22.0,-2.9672786504,23.0,-1.2595204432,24.0,1.6861136516,25.0,-0.7825355303,26.0,0.5292883347,27.0,1.8717926872000001,28.0,0.35609272670000003,29.0,0.9753189782
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,9.756618494219047,1.2274796654507085,21.0,30.0,11.2503991131,31.0,10.9933096923,32.0,10.9060822127,33.0,9.7067542997,34.0,7.057282381,35.0,9.3265389495,36.0,8.5282899213,37.0,10.3979757842,38.0,11.0946571431,39.0,9.1160943498,40.0,8.976730072,41.0,9.2823742935,42.0,8.933097592,43.0,9.5302404879,44.0,9.8773065065,45.0,9.0394909338,46.0,12.9777985422,47.0,10.1541941602,48.0,9.0623103728,49.0,9.3149463009,50.0,9.3631152701
5,WT_vs_Del_ccpA__THY_None_WT_exponential,-1.850371707708594e-17,0.39630010026686974,3.0,51.0,-0.14805136100000002,52.0,-0.3009601397,53.0,0.4490115007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,15.613689022825,0.8966229069316046,4.0,54.0,15.5712758016,55.0,16.3704524423,56.0,16.1459407207,57.0,14.3670871267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,2.5000002068509275e-11,0.23306929872106055,4.0,58.0,-0.2299781316,59.0,0.1810609159,60.0,-0.17059837190000002,61.0,0.21951558770000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,3.1089240434999996,0.9736668752136592,4.0,62.0,1.830210413,63.0,3.2793740967,64.0,3.1311744056,65.0,4.1949372587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-2.01309208705,1.0223023597954146,4.0,66.0,-2.5487865174,67.0,-3.1855408903,68.0,-1.0729246738,69.0,-1.2451162667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,-3.082514576625,0.6952396112733282,4.0,70.0,-2.370280968,71.0,-2.6340459028,72.0,-3.4783954054,73.0,-3.8473360303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,0.0,1.3584754796680465,6.0,74.0,0.8832087439,75.0,1.6548255312,76.0,1.067767758,86.0,-1.5662968205,88.0,-1.1531101131,90.0,-0.8863950995000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WT_vs_Del_dahA__THY_None_WT_early-stationary,2.6853102987999997,3.6863358746719035,6.0,77.0,5.8164997643,78.0,5.5153032227,79.0,6.6523934015,87.0,-1.2199047591,89.0,-1.0351338938,91.0,0.3827040572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WT_vs_Del_dahA__THY_None_Del_dahA_mid-exponential,3.8173462123333337,0.15154148757498992,3.0,80.0,3.7683116492,82.0,3.6963934586000002,84.0,3.9873335292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WT_vs_Del_dahA__THY_None_Del_dahA_early-stationary,13.266578068266668,1.013276775729507,3.0,81.0,12.5585738353,83.0,12.8138724751,85.0,14.4272878944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,WT_vs_Del_fabT__THY_35°C_WT_mid-exponential_OD1.0,0.0,0.5314216517820467,3.0,92.0,-0.14932730760000001,93.0,-0.4407827434,94.0,0.590110051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,WT_vs_Del_fabT__THY_35°C_Del_fabT_mid-exponential_OD1.0,-0.2384962171,0.6600191754997804,3.0,95.0,-0.4910586696,96.0,0.5105084371,97.0,-0.7349384188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WT_vs_Del_fabT__THY_40°C_WT_mid-exponential_OD1.0,1.2939790804666667,0.8329750878319984,3.0,98.0,0.3704320052,99.0,1.9884393104,100.0,1.5230659258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
