,rnt
Cr_1,-0.003754694867051921
Cr_2,-0.0071067086387837045
Cr_3,-0.013373228531759054
Cr_4,-0.019590488440325626
Cr_5,-0.02799026356560817
Cr_6,-0.039345668062583015
Fe_1,-0.01643648783803474
Fe_2,-0.035090454079470236
Fe_3,-0.05070907365351278
Fe_4,-0.07023506133110947
Fe_5,-0.08451659251154155
Fe_6,-0.09103710191674552
Cd_1,1.684702817294877e-05
Cd_2,0.002494288552200482
Cd_3,0.005494113707000298
Cd_4,0.007666356994142992
Cd_5,0.004417809238959471
Cd_6,0.006438972297035107
Zn_1,-0.003218779375898605
Zn_2,0.0044221986362400776
Zn_3,0.021468056458804792
Zn_4,0.04351265820569425
Zn_5,0.05852671885885991
Zn_6,0.07046238293588268
Cu_1,0.004684857844620363
Cu_2,0.008139656365257833
Cu_3,0.013702283039240586
Cu_4,0.020654948817878542
Cu_5,0.02955066192822672
Cu_6,0.04363466922510143
Pb_1,0.003533273271768896
Pb_2,0.0060014788989395905
Pb_3,0.014192735847341782
Pb_4,0.019684825976842
Pb_5,0.022493771823391708
Pb_6,0.03428301670721822
