,Value,list
TF,SigB,
reg_genes,19,"['USA300HOU_RS03660' 'mgrA' 'USA300HOU_RS03375' 'ytxG' 'ywrF' 'adcA'
 'porA' 'USA300HOU_RS04305' 'USA300HOU_RS14005' 'USA300HOU_RS01175']"
comp_genes,81,"['cidB' 'ytpA' 'USA300HOU_RS13995' 'USA300HOU_RS03690' 'USA300HOU_RS13395'
 'ohR' 'USA300HOU_RS01640' 'wecD' 'mtlR' 'mtlD' 'gntR' 'USA300HOU_RS03055'
 'asp23' 'USA300HOU_RS01280' 'USA300HOU_RS02310' 'USA300HOU_RS11955'
 'mtlA' 'crtP' 'clfA' 'USA300HOU_RS09305' 'USA300HOU_RS00335' 'yhbO'
 'crtQ' 'hutG' 'USA300HOU_RS14000' 'sceD' 'USA300HOU_RS14440' 'crtN'
 'ybbL' 'ydaG' 'USA300HOU_RS03270' 'yghA' 'clpL' 'ybbM' 'mutF' 'yniA'
 'rsbW' 'USA300HOU_RS08650' 'crtB' 'USA300HOU_RS05375' 'gdH'
 'USA300HOU_RS12445' 'yjgF' 'USA300HOU_RS01975' 'USA300HOU_RS04330'
 'USA300HOU_RS01745' 'USA300HOU_RS13190' 'spaE' 'USA300HOU_RS01985' 'ydaT'
 'opud2' 'USA300HOU_RS08645' 'USA300HOU_RS11835' 'rsbV' 'mtlF' 'sigB'
 'USA300HOU_RS11575' 'spovG' 'crtO' 'USA300HOU_RS14630'
 'USA300HOU_RS04260' 'USA300HOU_RS05390' 'USA300HOU_RS14120' 'dapE' 'hoxN'
 'USA300HOU_RS15095' 'padR' 'poxB' 'sqrdL' 'sqrdL' 'USA300HOU_RS14615'
 'USA300HOU_RS04325']"
both_genes,9,"['rbN' 'USA300HOU_RS13410' 'USA300HOU_RS03920' 'USA300HOU_RS11840'
 'USA300HOU_RS14645' 'USA300HOU_RS04505' 'USA300HOU_RS03670'
 'USA300HOU_RS14145' 'yfhF']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,9,
comp_ops,28,
both_ops,3,
