,A,SigB
R2,,0.29660000819458077
xmin,,8.6621859317
xmid,,
xmax,,10.8603744718
ystart,,-8.962585201350663
yend,,10.433311636273757
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,15.92786352,9.8393289695
USA300_LAC_U01-Set001_CAMHB_Control_1,0.25623830200000003,9.7477967174
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,-5.828511482,9.2813128638
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,-8.92405455,9.1499193195
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,-4.297534582,9.2248763744
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,16.33849338,9.8283421448
USA300_LAC_U01-Set001_CAMHB_Control_2,-0.25623830200000003,9.7906540304
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,-5.940921301,9.2901038836
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,-9.29599359,9.2021262503
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,-4.554361759,9.187448422
USA300_TCH1516_U01-Set000_CAMHB_Control_1,-0.8602784590000001,9.3466489989
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,-2.4894569090000003,9.1449907496
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,-2.416294821,9.210417871
USA300_LAC_U01-Set001_R10LB_PreCulture_1,5.538036018,10.537272057300001
USA300_LAC_U01-Set001_R10LB_PreCulture_2,7.408796055,10.5928277592
USA300_LAC_U01-Set001_R10LB_Control_1,4.19084337,10.2196809358
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,3.195047708,9.9900818418
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,-0.08838879300000001,9.9835323933
USA300_LAC_U01-Set001_R10LB_Control_2,6.573782297,10.2796127159
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,4.933241309,10.1146706375
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,1.826241488,9.9723891262
USA300_TCH1516_U01-Set000_R10LB_Control_1,-7.476625239,10.0467344034
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,-6.728675003,9.6999422294
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,-9.24522283,9.6511613806
USA300_TCH1516_U01-Set000_R10LB_Control_2,-7.715033912,10.10887493
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,-6.198958907,9.765086791
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,-7.759978929,9.7725971357
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,-17.01282544,9.4453895092
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,-16.42276949,9.4780532596
USA300_TCH1516_U01-Set000_CAMHB_Control_2,0.8602784590000001,9.6680637507
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,-2.7689020920000003,9.3572485869
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,-3.993765912,9.3049597352
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,-7.532761837,9.4878841816
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,-5.574719635,9.4983231212
USA300_LAC_U01-Set004_CAMHB_Control_1,-0.9837315400000001,9.8372125821
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,2.362039857,9.949324023700001
