,Value,list
TF,PrpR/LiuR,
reg_genes,13,['PA0793' 'prpD']
comp_genes,23,"['bkdA2' 'PA2553' 'dhcA' 'PA3119' 'bkdA1' 'PA2552' 'lpdV' 'dhcB' 'PA2111'
 'PA2554' 'bkdB' 'PA2555']"
both_genes,11,"['PA0797' 'liuD' 'liuB' 'prpB' 'PA0794' 'liuR' 'liuC' 'liuE' 'prpC' 'liuA'
 'PA2557']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
