,A,SigE
R2,,0.7053193706315968
xmin,,-0.8104666666666667
xmid,,1.325295976700032
xmax,,7.139333333333332
ystart,,5.122351680318761
yend,,81.07199976184384
LBexp_1,1.5848392584000002,0.16653333333333276
LBexp_2,-1.630674113,-0.10606666666666698
LBexp_3,3.9303916015,-0.038166666666667126
LBtran_1,3.7313884366,-0.05496666666666705
LBtran_2,2.9949178889,-0.1881666666666666
LBtran_3,5.9468015573,0.17963333333333242
LBstat_1,6.9531542924,0.504833333333333
LBstat_2,12.2178179369,0.5509333333333322
LBstat_3,14.9251723574,0.41233333333333366
LBGexp_1,4.0007438959,-0.3067666666666673
LBGexp_2,3.529310025,-0.08896666666666686
LBGexp_3,4.9571480999,0.11753333333333327
LBGtran_2,10.3808669706,0.34543333333333326
LBGtran_3,4.5294183324,0.5351333333333335
LBGstat_1,14.5447075261,0.6502333333333334
LBGstat_2,17.4042652604,0.35493333333333243
LBGstat_3,16.1937368517,0.8398333333333321
S0_1,0.4863862994,-0.4641666666666673
S0_2,2.6086239772,-0.34206666666666674
S0_3,4.0386376786,-0.2384666666666666
S1_1,-2.9452239303,0.5115333333333334
S1_2,-2.5673221743,0.2598333333333338
S1_3,-5.7729986194,0.46243333333333236
S2_1,12.8743825593,6.1555333333333335
S2_2,15.9941073599,6.143433333333333
S2_3,16.195461172,5.990233333333333
S3_1,90.8231116465,7.139333333333332
S3_2,91.6543351049,7.020033333333333
S4_1,91.9498057305,6.798233333333333
S4_2,94.1664384394,6.355533333333333
S4_3,92.945879517,6.1197333333333335
S5_1,90.6610718515,6.192333333333333
S5_2,93.2264985981,6.346033333333334
S5_3,92.9185279569,6.426033333333334
S6_1,91.3741887198,5.349433333333333
S6_2,89.9997123899,1.4351333333333338
S6_3,92.1575590984,5.5393333333333326
S6/t_1,84.9831777029,4.991033333333333
S6/t_2,82.7414843644,0.9104333333333328
S6_4,78.1176250812,4.589533333333333
S6_5,82.6215909041,5.313933333333334
S6_6,83.7020127384,5.493033333333334
S7_4,73.5416108321,4.997933333333333
S7_5,72.0318061139,4.924933333333333
S7_6,71.0414860461,5.055133333333333
S8_4,71.3569605323,4.408233333333333
S8_5,61.9007557477,2.973633333333333
G135_1,11.9170803954,0.0541333333333327
G135_3,24.8436257795,-0.2868666666666666
G150_1,10.6021669871,-0.06576666666666675
G150_2,6.1620234172,-0.18736666666666668
G150_3,9.8182446842,-0.10796666666666699
G180_1,12.6499850652,-0.13326666666666664
G180_2,7.6705466711,-0.33426666666666716
G180_3,15.114879285,-0.5803666666666674
C30_1,22.2916384225,0.7977333333333325
C30_2,21.1548661853,0.7859333333333334
C90_1,9.1466061306,0.8593333333333328
C90_2,-1.7947150914,0.4341333333333326
BI_1,-0.279439337,0.5982333333333338
BI_2,-2.3312775859,0.7021333333333333
BC_2,18.0285782508,4.210633333333333
BC/t_1,20.9200628886,3.6086333333333327
BC/t_2,22.4101896282,3.951133333333334
BC_1,20.1492555031,3.712833333333333
Sw_1,5.5103136415,2.0431333333333326
