,Value,list
TF,SigE,
reg_genes,300,"['yodS' 'cotW' 'yosX' 'murE' 'yqkF' 'yusR' 'cotB' 'yotK' 'yesJ' 'S649'
 'S841' 'glgP' 'S1097' 'spoVK' 'ybaK' 'spsK' 'sigK' 'ylxX' 'yfnE' 'S556'
 'yabQ' 'S610' 'spoVM' 'glgD' 'yabO' 'yfhS' 'spsI' 'yokU' 'murG' 'mraY'
 'S1056' 'S441' 'med' 'cotJC' 'cotJB' 'S1405' 'cspR' 'yotM' 'ywcA' 'yqfZ'
 'yeaA' 'sprB' 'yocL' 'cotT' 'ytxC' 'yfnG' 'mbl' 'bdbC' 'phoR' 'glgC'
 'yjaV' 'yxeD' 'S704' 'ydjO' 'S762' 'S940' 'yhjQ' 'S1566' 'yotE' 'spsA'
 'cotJA' 'ysnD' 'S729' 'yhjR' 'S422' 'S1192' 'S1090' 'S558' 'S1386' 'yabR'
 'divIC' 'safA' 'nucB' 'yoaW' 'ctpB' 'S763' 'glgA' 'yybI' 'yabN' 'ynzB'
 'S421' 'ylmC' 'ycgG' 'yppG' 'sigKC' 'murD' 'yozE' 'yugU' 'cotV' 'yesK'
 'ytaG' 'S401' 'ypqA' 'S246' 'asnO' 'fisB' 'yotJ' 'yusS' 'mutM' 'gerR'
 'yhcO' 'sqhC' 'S559' 'yisY' 'cotZ' 'polA' 'tgl' 'ylxW' 'murB' 'spoIIIAH'
 'S557' 'sodF' 'yjdH' 'cotM' 'S387' 'S388' 'yotG' 'ispG' 'yaaH' 'S420'
 'spsL' 'coxA' 'spsF' 'S226' 'ywrJ' 'yotI' 'yusQ' 'ydjP' 'cotX' 'yodP'
 'spsC' 'ysxE' 'S393' 'spsE' 'S666' 'cotH' 'bdbD' 'yotB' 'cwlJ' 'S745'
 'spoIVCA' 'yteV' 'spoVID' 'spoVE' 'spsB' 'S862' 'ytaF' 'yabM' 'yotD'
 'cotY' 'yckC' 'exuR' 'spoIIID' 'yuzH' 'spsG' 'prkA' 'cotO' 'S251' 'bofA'
 'yhxC' 'sbp' 'ydcA' 'yfnF' 'cotE' 'spoIVA' 'yfnD' 'cotG' 'yfnH' 'comZ'
 'ypjB' 'yjcA' 'yitC' 'S1055' 'phoP' 'S1387' 'yheD' 'uxaB' 'ydhF' 'S1463'
 'ywcB' 'S343' 'ctaA' 'yheC' 'mmgF' 'yrrS' 'yncD' 'gerQ' 'spsD' 'divIB'
 'yitD' 'S123' 'glgB' 'S1096' 'S984' 'yotC' 'uxaA' 'yotH' 'S574' 'S1191'
 'usd' 'spsJ']"
comp_genes,155,"['yobN' 'yqhH' 'yqfX' 'cydB' 'S4' 'S533' 'yugT' 'S111' 'cypA' 'yhfW'
 'cydD' 'dacF' 'S1576' 'ywlD' 'pbpG' 'S1406' 'yloB' 'S501' 'yrdD/1' 'sspB'
 'S1062' 'S271' 'ywlB' 'S889' 'S758' 'yhzF' 'ytfI' 'yitE' 'S1318' 'S974'
 'S373' 'S37' 'S723' 'S1279' 'S128' 'yoyF' 'cydC' 'lonB' 'yrrD' 'yyaC'
 'yrdD/2' 'S354' 'S1505' 'S1467' 'S342' 'S1445' 'yizD' 'S1506' 'S856'
 'ylaK' 'S1431' 'yjbE' 'S540' 'yhfN' 'S1247' 'S731']"
both_genes,99,"['pbpI' 'yngE' 'mmgA' 'yqhV' 'ydhD' 'mciZ' 'spoIVFA' 'mmgE' 'ykvU' 'yuzC'
 'spoVV' 'S1041' 'S1049' 'S891' 'ytrH' 'scoB' 'S647' 'S648' 'glnM' 'yjmD'
 'S624' 'yobW' 'yyaD' 'ytrI' 'yjmF' 'spoVB' 'phoB' 'S162' 'yabP' 'yhbH'
 'yhbB' 'citH' 'exuT' 'stoA' 'spoIIIAA' 'ydcC' 'S493' 'S638' 'spoVD'
 'mmgC' 'ytvI' 'kamA' 'spmB' 'S1500' 'yngF' 'dacB' 'glnQ' 'S452' 'glnP'
 'yqxA' 'spoIVFB' 'scoA' 'S314' 'S705' 'yjmC' 'yrzE' 'yodQ' 'ykvI' 'yknT'
 'yngH' 'spoIIIAG' 'uxuA' 'yngHB' 'spoIIIAF' 'hbuT' 'spoIIIAD' 'yodT'
 'yqfD' 'S597' 'S919' 'yqfC' 'spoIID' 'mmgB' 'pdaB' 'yjfA' 'yndA' 'yngJ'
 'glnH' 'yhaL' 'ymxH' 'mmgD' 'spoIIIAE' 'spmA' 'yngG' 'gerM' 'spoIIIAC'
 'yxjF' 'S551' 'S62' 'spoIIP' 'cwlD' 'yngI' 'spoIIM' 'yhaX' 'yodR' 'spoVR'
 'S1218' 'spoIIIAB' 'S201']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,136,
comp_ops,73,
both_ops,48,
