,-0.052063043076923075,-0.045555162692307694,-0.03904728230769231,-0.03253940192307693,-0.026031521538461548,-0.019523641153846166,-0.013015760769230784,-0.006507880384615403,-2.0816681711721685e-17,0.006507880384615361,0.013015760769230743,0.019523641153846118,0.026031521538461506,0.032539401923076895,0.03904728230769227,0.045555162692307645,0.052063043076923034,0.05857092346153842,0.0650788038461538,0.07158668423076917
thresh,-0.0423012225,0.0423012225,2,,,,,,,,,,,,,,,,,
unreg,1,2,2,12,14,62,440,1422,1264,491,174,64,38,26,17,15,5,5,0,0
SigE,0,0,2,0,0,4,3,13,22,25,22,13,24,17,14,26,29,22,3,0
unreg_genes,['yqfX'],['yrrD' 'sspB'],[],[],[],[],[],[],[],[],[],[],[],[],[],"['yrdD/2' 'cypA' 'yugT' 'yjbE' 'yrdD/1' 'yhfW' 'yhfN' 'cydD' 'ylaK' 'ywlD'
 'yobN' 'cydC' 'ywlB' 'yqhH' 'yyaC']",['dacF' 'pbpG' 'yizD' 'yhzF' 'cydB'],['ytfI' 'lonB' 'yoyF' 'yitE' 'yloB'],[],[]
SigE_genes,[],[],['yxeD' 'cotT'],[],[],['yugU' 'yuzH' 'ybaK' 'cotW'],['cotV' 'cotX' 'yfhS'],"['yusS' 'yusQ' 'yosX' 'cotM' 'yusR' 'yotJ' 'yotM' 'comZ' 'tgl' 'cotG'
 'ytaG' 'yotK' 'mutM']","['polA' 'ypqA' 'yabO' 'ctaA' 'yabN' 'bdbD' 'ytaF' 'sigKC' 'yabM' 'yitC'
 'murE' 'med' 'ylxW' 'yotI' 'cotE' 'divIB' 'yotH' 'coxA' 'yitD' 'yozE'
 'ylxX' 'bdbC']","['yotG' 'murD' 'sigK' 'yfnF' 'ispG' 'yfnG' 'cotB' 'yfnD' 'sbp' 'spsI'
 'yfnH' 'yqkF' 'yabR' 'mraY' 'yotE' 'ywrJ' 'yotD' 'cotY' 'yotC' 'mbl'
 'divIC' 'gerQ' 'yotB' 'ysnD' 'spoVID']","['uxaB' 'phoR' 'murB' 'cspR' 'spsB' 'yoaW' 'spsG' 'spsC' 'sprB' 'yfnE'
 'spsF' 'phoP' 'glgB' 'spsA' 'usd' 'ydjO' 'exuR' 'cotZ' 'spsE' 'spsD'
 'uxaA' 'glgP']","['yppG' 'glgA' 'glgC' 'glgD' 'spoIIID' 'cotH' 'yckC' 'ydcA' 'cotJA' 'cwlJ'
 'yrrS' 'ylmC' 'safA']","['yybI' 'murG' 'yisY' 'cotO' 'spoIVA' 'asnO' 'ywcB' 'yesK' 'ydjP' 'yhcO'
 'cotJB' 'yesJ' 'yeaA' 'cotJC' 'yheC' 'spsK' 'spsL' 'yocL' 'yheD' 'spsJ'
 'spoVE' 'gerR' 'ypjB' 'ysxE']","['ctpB' 'spoVM' 'yhjQ' 'spoIVCA' 'yhjR' 'ycgG' 'ytxC' 'bofA' 'spoIIIAH'
 'fisB' 'prkA' 'mmgF' 'yteV' 'yhxC' 'ynzB' 'yqfZ' 'nucB']","['yjdH' 'yokU' 'yjcA' 'sqhC' 'ywcA' 'spoVK' 'yncD' 'yabQ' 'yaaH' 'sodF'
 'yjaV' 'yodS' 'yodP' 'ydhF']","['yhaX' 'yqxA' 'spoIID' 'yjfA' 'yuzC' 'yodQ' 'yodT' 'kamA' 'yodR' 'mciZ'
 'yhaL' 'spoIIP' 'yxjF' 'ydcC' 'yhbH' 'yabP' 'ydhD' 'phoB' 'cwlD' 'yknT'
 'yhbB' 'pbpI' 'yngE' 'yngG' 'yngF' 'yngH']","['yngHB' 'yqfD' 'scoB' 'yngJ' 'mmgE' 'stoA' 'spoIIIAG' 'ymxH' 'yyaD'
 'glnQ' 'glnH' 'mmgD' 'yqfC' 'gerM' 'mmgC' 'yngI' 'spoVR' 'yrzE'
 'spoIIIAF' 'citH' 'mmgB' 'ytvI' 'yobW' 'ytrI' 'yndA' 'scoA' 'spoIIM'
 'exuT' 'hbuT']","['pdaB' 'mmgA' 'ytrH' 'glnP' 'spoVB' 'spoIIIAA' 'spoIVFB' 'spoIIIAC'
 'spoIIIAD' 'dacB' 'ykvI' 'yjmF' 'spoIVFA' 'yqhV' 'glnM' 'uxuA' 'spoIIIAE'
 'yjmC' 'spoIIIAB' 'spoVV' 'spoVD' 'spmA']",['yjmD' 'ykvU' 'spmB'],[]
