,A,purR
rpoB__rpoBE672K_glc__2,3.2339149628099997,8.60871039041634
rpoB__rpoBE672K_lb__1,-9.56793644653,7.94563509278808
rpoB__rpoBE672K_lb__2,-9.187017112789999,7.99406661874399
crp__wt_fru__1,0.33840739538099995,8.4218248322655
crp__wt_glyc__1,-0.17775033841600002,8.665188804188281
crp__wt_glyc__2,-0.39418337586900004,8.6163868990114
crp__delar1_glyc__1,-11.755054903900001,6.5035897172786905
crp__delar1_glyc__2,-18.4074286913,6.12092418449922
crp__delar1ar2_glyc__1,1.3478876776299997,8.532569506394019
crp__delar1ar2_glyc__2,1.47396538277,8.51075884523847
crp__delar1ar2_glyc__3,1.5005551952899998,8.59025387925285
crp__delar2_glyc__1,-4.54016463062,8.22261265291345
crp__delar2_glyc__2,-3.2487855248699997,8.14382942130103
crp__delar2_glyc__3,-3.14330507701,8.224043687702661
crp__delcrp_fru__1,-0.053193392120900004,8.43484013986157
crp__delcrp_fru__2,0.341684503295,8.284079651376869
crp__delcrp_fru__3,-0.0850603637965,8.2206638708924
crp__delcrp_glc__1,1.28918694232,8.45472411545706
crp__delcrp_glc__2,1.6833009852599998,8.56648965436025
crp__delcrp_glc__3,1.23944909744,8.41220724309029
crp__delcrp_glyc__1,1.0818079486299998,8.34708808407775
crp__delcrp_glyc__2,0.125151109091,8.27291092935208
crp__delcrp_glyc__3,0.14375806589,8.18917262534992
glu__glu_ale3__1,-7.020576584339999,7.707552852946991
glu__glu_ale4__1,1.7579947097,8.90653213958586
glu__glu_ale5__1,1.63903003723,8.59351666719551
glu__glu_ale6__1,4.46325329894,8.53943433925075
glu__glu_ale8__1,-12.6210765001,7.313508567333519
glu__glu_ale9__1,-3.7653099612900003,7.93292100566421
glu__glu_ale10__1,-5.82201524041,8.0198123477134
42c__wt_42c__1,2.0549598310299997,8.855598682814161
42c__42c_ale1__1,-14.574564190799999,6.51081509860572
42c__42c_ale2__1,0.528231065631,8.66008253683819
42c__42c_ale3__1,1.16256798614,9.10620275092683
42c__42c_ale4__1,-5.24924988821,7.24470343575775
42c__42c_ale5__1,1.1586607253499999,8.90008105619653
42c__42c_ale6__1,-17.450527902,7.2631327659760405
42c__42c_ale8__1,-10.5724856118,6.62355768103243
42c__42c_ale9__1,2.78594198633,8.6603495373112
42c__42c_ale10__1,-12.299334693299999,7.119003462444709
ssw__wt_ac__1,-1.9758056125999999,8.24784146744595
ssw__wt_glc__1,-1.47104322282,8.36854709065209
ssw__wt_glyc__1,-17.507668378199998,7.055179133501429
ssw__wt_xyl__1,-12.9787129095,7.705656438753951
ssw__glc_ale1__1,-4.46004792448,8.75324016398398
ssw__glc_ale2__1,-7.48668970853,8.67701241612418
ssw__glc_ale3__1,-6.10178871805,8.291256425099599
ssw__glyc_ale1__1,-1.71191754861,8.41248001445855
ssw__glyc_ale2__1,-2.9532322722,8.352765655795901
ssw__xyl_ale1__1,-4.118921805619999,8.537256414351459
ssw__xyl_ale2__1,-4.5524276199900005,8.69038290184315
ssw__xyl_ale3__1,-3.0755521334099996,8.344474851880731
ssw__glc_ac_ac2__1,-3.79172838459,7.72907472809289
ssw__glc_ac_glc1__1,-6.87018941264,8.13672662676082
ssw__glc_ac_glc2__1,-18.9052098608,6.0020346159789595
ssw__glc_glyc_glc__1,-7.39447623263,7.83341750963364
ssw__glc_glyc_glyc__1,-4.95460187953,8.19230777565359
ssw__glc_xyl_glc__1,-2.06765997227,8.3910065692213
ssw__glc_xyl_xyl__1,-1.95510448447,8.61725955438672
pgi__glu4_delpgi__1,-2.68509330007,8.58630438910182
pgi__pgi_ale1__1,-0.830392727157,8.8743031338611
pgi__pgi_ale2__1,-1.62116482326,8.668605746010961
pgi__pgi_ale3__1,-0.734736906163,8.72161246632926
pgi__pgi_ale5__1,-0.026253444133099997,8.84233056467513
