,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X
0,U01-Set001__USA300 LAC CA-MHB PreCulture,5.413811277300001,0.040690715978877356,2.0,0.0,5.3850385961,5.0,5.4425839585,,
1,U01-Set001__USA300 LAC CA-MHB Control,5.636423632,0.2773571658737344,2.0,1.0,5.8325447648,6.0,5.4403024992,,
2,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.15,5.4680125124500005,0.2831097504312954,2.0,2.0,5.6682013368,7.0,5.2678236881,,
3,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.5 ,4.9625240337,0.4780233881123338,2.0,3.0,5.300537613,8.0,4.6245104544,,
4,U01-Set001__USA300 LAC CA-MHB Nafcillin 1,5.36857640425,0.44990147148096965,2.0,4.0,5.0504480229,9.0,5.6867047856,,
5,U01-Set000__USA300 TCH1516 CA-MHB Control,4.566261004299999,0.45621913292738386,2.0,10.0,4.8888566469,29.0,4.2436653617,,
6,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.0625,4.0214404666500005,0.022418932998208643,2.0,11.0,4.0055878871,30.0,4.0372930462,,
7,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.5,3.6986877395,0.10483433432162693,2.0,12.0,3.7728168082,31.0,3.6245586708,,
8,U01-Set001__USA300 LAC RPMI+10%LB PreCulture,4.1775062797,0.10266843513815407,2.0,13.0,4.2501038264,14.0,4.104908733,,
9,U01-Set001__USA300 LAC RPMI+10%LB Control,4.35917227,0.24000900106659676,2.0,15.0,4.5288842622,18.0,4.1894602778,,
10,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.1,3.9763749821000003,0.0063853996597565575,2.0,16.0,3.9808901415,19.0,3.9718598227,,
11,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.15,4.07123625535,0.3708432569547375,2.0,17.0,3.8090104736,20.0,4.3334620371,,
12,U01-Set000__USA300 TCH1516 RPMI+10%LB Control,3.730997025,0.5970381463342579,2.0,21.0,3.3088273031,24.0,4.1531667469,,
13,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.031,3.750543873,0.0884151218223239,2.0,22.0,3.8130628052,25.0,3.6880249408,,
14,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.0625,4.2850664555,0.19711417088394234,2.0,23.0,4.4244472223999995,26.0,4.1456856886,,
15,U01-Set000__USA300 TCH1516 CA-MHB PreCulture,3.0617837631,0.331395961734072,2.0,27.0,3.2961160949,28.0,2.8274514313,,
16,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 1,4.04466092775,0.11646534263440118,2.0,32.0,4.1270143613,33.0,3.9623074942,,
17,U01-Set004__USA300 LAC CA-MHB Vancomycin 0,3.6986152689500003,0.8639400002993809,2.0,34.0,4.3095131017,38.0,3.0877174362,,
18,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.65,3.8350702537999997,0.1327597778690147,2.0,35.0,3.7411949146,39.0,3.928945593,,
19,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.7,2.7936304549999997,0.8614951536425588,2.0,36.0,3.4027995201,40.0,2.1844613899,,
20,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.8,3.14780487615,1.3615403443514822,2.0,37.0,2.1850504658,41.0,4.1105592865,,
21,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0,3.7690008191,0.40430845878789184,2.0,42.0,3.4831115662,45.0,4.054890072,,
22,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.6,3.71814109015,0.3060305057276925,2.0,43.0,3.934537336,46.0,3.5017448443,,
23,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.8,3.3887862463,0.5001941373076578,2.0,44.0,3.0350955799,47.0,3.7424769127,,
24,U01-Set003__USA300 TCH1516 CA-MHB Control,4.18290102045,0.0871440690281594,2.0,48.0,4.2445211826,52.0,4.1212808583,,
25,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.45,3.96371466985,0.4996081855659641,2.0,49.0,3.6104383339,53.0,4.3169910058,,
26,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.65,4.4666811986,0.2892805199191482,2.0,50.0,4.2621289813,54.0,4.6712334159,,
27,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.7,4.2921346764,0.08774966221633626,2.0,51.0,4.3541830576,55.0,4.2300862952,,
28,ICA-Set001__USA300 LAC RPMI+10%LB Control,3.70636780325,0.560462661643528,2.0,56.0,3.3100608546,57.0,4.1026747519,,
29,ICA-Set001__USA300 LAC RPMI+10%LB 1.5mMIle,3.08011357265,0.3912356480103051,2.0,58.0,2.8034681929,59.0,3.3567589524,,
30,ICA-Set001__USA300 LAC RPMI+10%LB 4percentNaCl,4.5276076653,0.34298062096510656,2.0,60.0,4.7701315882,61.0,4.2850837424,,
31,ICA-Set001__USA300 LAC RPMI+10%LB 5.5pH,4.0288890893,0.09472008624724293,2.0,62.0,4.0958663046,63.0,3.961911874,,
32,BK-Set001__USA300 TCH1516 THB 0ug-mL Antibiotic,3.6710839382,0.8128365987885603,2.0,64.0,3.0963216672,65.0,4.2458462092,,
33,BK-Set001__USA300 TCH1516 THB 0.25ug-mL Linezolid,3.8748408218000003,0.10907000760278837,2.0,66.0,3.7977166798,67.0,3.9519649638,,
34,BK-Set001__USA300 TCH1516 THB 2.5 ug-mL Nafcillin,4.9177877054,0.509859592344776,2.0,68.0,5.2783128806,69.0,4.5572625302,,
35,BK-Set001__USA300 TCH1516 THB 0.5ug-mL Vancomycin,4.3873764564,0.09677842854960034,2.0,70.0,4.4558091395,71.0,4.3189437733,,
36,ICA-Set002__USA300 LAC CA-MHB 25mMNaCHO3,4.8005086626,0.13862506725719004,2.0,72.0,4.7024859375,73.0,4.8985313877,,
37,ICA-Set002__USA300 LAC CA-MHB 2gLglucose,3.94880391,0.06368838045143722,2.0,74.0,3.9938383957,75.0,3.9037694243,,
38,ICA-Set002__USA300 LAC CA-MHB Control,4.67984991415,0.4589089666280425,2.0,76.0,5.0043475564,77.0,4.3553522719,,
39,ICA-Set002__USA300 LAC RPMI+10%LB 25ugmLadenine,4.3788011275,0.15657229734697095,2.0,78.0,4.2680877943,79.0,4.4895144607,,
