,pntA
Cr_1,0.010001085684723212
Cr_2,0.021498960780494385
Cr_3,0.03169019017393844
Cr_4,0.03870529670953676
Cr_5,0.04385360954088161
Cr_6,0.048600798998702725
Fe_1,-0.011041895211483622
Fe_2,-0.03725333416861356
Fe_3,-0.06718651605070584
Fe_4,-0.09521885728489317
Fe_5,-0.1111363215778254
Fe_6,-0.11798011572919395
Cd_1,0.0017977521921822925
Cd_2,0.0032210294764230467
Cd_3,0.0029850922295766628
Cd_4,0.0018239762649421164
Cd_5,-0.0029630702255706146
Cd_6,-0.0049143352080787935
Zn_1,-0.0013882637488495256
Zn_2,-0.001741031021049545
Zn_3,-0.002825613309594588
Zn_4,-0.0008698825150110593
Zn_5,0.000265891801351651
Zn_6,0.0014053446038590836
Cu_1,0.003836701459728889
Cu_2,0.0038396166440132595
Cu_3,0.004621503550107722
Cu_4,0.0033520047157544145
Cu_5,0.007933800621260001
Cu_6,0.01632563102293491
Pb_1,0.017848085403755848
Pb_2,0.033631677256614145
Pb_3,0.04458345428712687
Pb_4,0.04786207583569966
Pb_5,0.051906660839938105
Pb_6,0.04861893893904362
