,yajO
Cr_1,0.0022732878169950885
Cr_2,0.00755411041216866
Cr_3,0.022317182028550514
Cr_4,0.03514202679485011
Cr_5,0.04581478045562561
Cr_6,0.05181481296374249
Fe_1,-0.0059681122223872105
Fe_2,-0.061170517128028026
Fe_3,-0.090490797422039
Fe_4,-0.13116765159540056
Fe_5,-0.19298808579343335
Fe_6,-0.23731568896003724
Cd_1,0.004860816441985786
Cd_2,0.010755714483606812
Cd_3,0.015430944688091548
Cd_4,0.01859096091688866
Cd_5,0.017909770938950288
Cd_6,0.027034462745064058
Zn_1,-0.006864746583638295
Zn_2,0.0598067461179877
Zn_3,0.7340559239812705
Zn_4,0.04776844837421745
Zn_5,0.1014771609156775
Zn_6,0.18053471165568072
Cu_1,0.005055495827123665
Cu_2,0.0170948101961076
Cu_3,0.031071810300219112
Cu_4,0.04127993150894548
Cu_5,0.0484574067172736
Cu_6,0.055904860794159336
Pb_1,0.007761829400268551
Pb_2,0.0047341907924324895
Pb_3,0.00932773593739633
Pb_4,-0.00016742591577779929
Pb_5,0.008386643996729332
Pb_6,0.016573681228653978
