,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X
0,Control__wt_glc,8.474935198949385,0.19832948728970837,2.0,0.0,8.61517532432119,1.0,8.334695073577581,,,,,,,,
1,Fur__wt_dpd,10.3463865356545,0.025338488016808432,2.0,2.0,10.3643035523562,3.0,10.3284695189528,,,,,,,,
2,Fur__wt_fe,8.442223717719864,0.008797431349698516,2.0,4.0,8.44844444108426,5.0,8.43600299435547,,,,,,,,
3,Fur__delfur_dpd,10.464967000679449,0.023502530148789634,2.0,6.0,10.448348202236199,7.0,10.4815857991227,,,,,,,,
4,Fur__delfur_fe2,8.807144096715351,0.03569476837455444,2.0,8.0,8.78190408394482,9.0,8.832384109485881,,,,,,,,
5,Acid__wt_ph5,9.050209532202274,0.04250397321935192,2.0,10.0,9.0201546845115,11.0,9.08026437989305,,,,,,,,
6,Acid__delgadx_ph5,9.274859500524755,0.09534782114379001,2.0,12.0,9.207438409622618,13.0,9.34228059142689,,,,,,,,
7,Acid__delgadw_ph5,9.09609355733246,0.022271756292286227,2.0,14.0,9.080345047429251,15.0,9.11184206723567,,,,,,,,
8,Acid__delgade_ph5,9.059354776491384,0.00537044337900865,2.0,16.0,9.06315225342266,17.0,9.055557299560109,,,,,,,,
9,Oxidative__wt_pq,7.666078433429215,0.009829800678054817,2.0,18.0,7.65912771471205,19.0,7.67302915214638,,,,,,,,
10,Oxidative__deloxyr_pq,7.905063786735775,0.14619535575882553,2.0,20.0,7.80168805930073,21.0,8.00843951417082,,,,,,,,
11,Oxidative__delsoxr_pq,8.1252549104993,0.027660610179568473,2.0,22.0,8.10569590546957,23.0,8.144813915529031,,,,,,,,
12,Oxidative__delsoxs_pq,7.47002555712727,0.028022567828807923,2.0,24.0,7.45021060938926,25.0,7.48984050486528,,,,,,,,
13,Nac/NtrC__wt_csn,8.86359999500789,0.07573469077405293,2.0,26.0,8.91715250842529,27.0,8.810047481590491,,,,,,,,
14,Nac/NtrC__wt_cytd,8.873833330454335,0.03630172160139849,2.0,28.0,8.89950252396743,29.0,8.84816413694124,,,,,,,,
15,Nac/NtrC__wt_gln,9.225945785358391,0.015429552518761786,2.0,30.0,9.2150354441417,31.0,9.23685612657508,,,,,,,,
16,Nac/NtrC__bw_delnac_csn,8.919468540573714,0.2259610357243382,2.0,32.0,9.07924712121833,33.0,8.7596899599291,,,,,,,,
17,Nac/NtrC__bw_delnac_cytd,9.194891696617075,0.017461192281465192,2.0,34.0,9.207238624086902,35.0,9.182544769147249,,,,,,,,
18,Nac/NtrC__bw_delnac_gln,9.592826738770425,0.05055887805145154,2.0,36.0,9.55707621325106,37.0,9.62857726428979,,,,,,,,
19,Nac/NtrC__bw_delnac_nh4,8.164191917347111,0.023906799806407107,2.0,38.0,8.18109657760669,39.0,8.14728725708753,,,,,,,,
20,Misc__wt_no_te,8.960805551511555,0.26324636305871824,2.0,40.0,9.14694883995307,41.0,8.77466226307004,,,,,,,,
21,Misc__bw_delcbl,8.26866933060081,0.008705501895854438,2.0,42.0,8.274825050025001,43.0,8.262513611176619,,,,,,,,
22,Misc__bw_delfabr,7.923407074138336,0.02408729175662112,2.0,44.0,7.9063747867968095,45.0,7.940439361479861,,,,,,,,
23,Misc__bw_delfadr,8.342075920474944,0.06100405882594035,2.0,46.0,8.29893953679922,47.0,8.38521230415067,,,,,,,,
24,Misc__nitr_031,8.71119419073704,,1.0,48.0,8.71119419073704,,,,,,,,,,
25,Omics__wt_glu,9.337959887042265,0.02454165360948145,2.0,49.0,9.32060631735347,50.0,9.35531345673106,,,,,,,,
26,Omics__wt_gly,9.05420273598823,0.03814501458471075,2.0,51.0,9.081175334469538,52.0,9.02723013750692,,,,,,,,
27,Omics__wt_thr,9.179016247725048,0.062237934051138435,2.0,53.0,9.135007382510448,54.0,9.22302511293965,,,,,,,,
28,Omics__bw_ac,8.51138776447239,0.03144441637797587,2.0,55.0,8.48915320442107,56.0,8.53362232452371,,,,,,,,
29,Omics__bw_fum,7.843843758410115,0.15273010706968915,2.0,57.0,7.735847264009791,58.0,7.95184025281044,,,,,,,,
30,Omics__bw_glc,8.60430401447628,0.03626032624057871,2.0,59.0,8.62994393704903,60.0,8.57866409190353,,,,,,,,
31,Omics__bw_pyr,8.212213527276521,0.10513589417611156,2.0,61.0,8.13787122355848,62.0,8.28655583099456,,,,,,,,
32,OmpR__wt_nacl,10.81371114395425,0.0219292928573405,2.0,63.0,10.829217495640302,64.0,10.7982047922682,,,,,,,,
33,OmpR__bw_delompr_nacl,9.97994268191496,0.06640626128990924,2.0,65.0,10.026898999586301,66.0,9.93298636424362,,,,,,,,
34,MinSpan__wt_ade,7.81834574934723,,1.0,67.0,7.81834574934723,,,,,,,,,,
35,MinSpan__wt_glc,8.054512256949558,0.08819512682768389,4.0,68.0,7.952037102593531,69.0,8.15652948987395,70.0,8.08957197468122,71.0,8.01991046064953,,,,
36,MinSpan__wt_glc_anaero,7.92647436403278,0.04886591665510288,2.0,72.0,7.89192094299706,73.0,7.9610277850685,,,,,,,,
37,MinSpan__wt_trp,8.28172516423303,,1.0,74.0,8.28172516423303,,,,,,,,,,
38,MinSpan__bw_delcra_glc,8.058504972281884,0.010384011289290788,2.0,75.0,8.06584757708046,76.0,8.05116236748331,,,,,,,,
39,MinSpan__bw_delcra_trp,8.24712776112918,,1.0,77.0,8.24712776112918,,,,,,,,,,
40,MinSpan__bw_delmntr,7.688185202677441,,1.0,78.0,7.688185202677441,,,,,,,,,,
41,MinSpan__bw_delnac_ade,8.48435806941807,,1.0,79.0,8.48435806941807,,,,,,,,,,
42,MinSpan__bw_delnac_glc,8.21086005522567,,1.0,80.0,8.21086005522567,,,,,,,,,,
43,Cra/Crp__wt_ac,8.94630892978353,0.007262729240881162,2.0,81.0,8.95144445487968,82.0,8.941173404687381,,,,,,,,
44,Cra/Crp__wt_fru,8.92199772906805,0.18179692449270493,2.0,83.0,8.7934478909604,84.0,9.0505475671757,,,,,,,,
45,Cra/Crp__delcra_ac,8.88679143467041,0.04191317692527007,2.0,85.0,8.91642852629534,86.0,8.85715434304548,,,,,,,,
46,Cra/Crp__delcra_fru,8.843673669966616,0.05148856655003642,2.0,87.0,8.880081584527721,88.0,8.80726575540551,,,,,,,,
47,Cra/Crp__delcra_glc,8.451602684371485,0.029432723504618643,2.0,89.0,8.47241476275039,90.0,8.43079060599258,,,,,,,,
48,RpoB Knock-in__wt_031,8.15909716892332,,1.0,91.0,8.15909716892332,,,,,,,,,,
49,RpoB Knock-in__wt_044,8.75849998871224,,1.0,92.0,8.75849998871224,,,,,,,,,,
50,RpoB Knock-in__wt_lb,8.696604152409245,0.06489218919932818,2.0,93.0,8.74248985943813,94.0,8.65071844538036,,,,,,,,
51,RpoB Knock-in__rpoBE546V_031,8.35679514979134,,1.0,95.0,8.35679514979134,,,,,,,,,,
52,RpoB Knock-in__rpoBE546V_044,8.27104484006659,,1.0,96.0,8.27104484006659,,,,,,,,,,
53,RpoB Knock-in__rpoBE546V_lb,7.863761130149054,0.08813131976617868,2.0,97.0,7.80144287630747,98.0,7.92607938399064,,,,,,,,
54,RpoB Knock-in__rpoBE546V_glc,8.062068160106831,,1.0,99.0,8.062068160106831,,,,,,,,,,
55,RpoB Knock-in__rpoBE672K_glc,6.912594985001656,0.12309522250846827,2.0,100.0,6.99963645156906,101.0,6.82555351843425,,,,,,,,
56,RpoB Knock-in__rpoBE672K_lb,6.649718340174591,0.014560348096002786,2.0,102.0,6.63942261929947,103.0,6.6600140610497105,,,,,,,,
57,Crp ARs__wt_fru,8.256642538001339,,1.0,104.0,8.256642538001339,,,,,,,,,,
58,Crp ARs__wt_glyc,7.73418580405975,0.03206955922870376,2.0,105.0,7.71150920125947,106.0,7.75686240686003,,,,,,,,
59,Crp ARs__delar1_glyc,9.114422071575785,0.08341395444448943,2.0,107.0,9.17340464440907,108.0,9.055439498742501,,,,,,,,
60,Crp ARs__delar1ar2_glyc,9.097049776465013,0.01660393798769269,3.0,109.0,9.084948699372289,110.0,9.090221506580619,111.0,9.11597912344213,,,,,,
61,Crp ARs__delar2_glyc,8.639343357738285,0.11579927527537165,3.0,112.0,8.50631748325744,113.0,8.71758487943106,114.0,8.69412771052636,,,,,,
62,Crp ARs__delcrp_fru,8.93888909766755,0.06190777141021273,3.0,115.0,8.89328237886364,116.0,8.914020740497358,117.0,9.00936417364165,,,,,,
63,Crp ARs__delcrp_glc,9.25232463692783,0.05361156000991655,3.0,118.0,9.29381796752163,119.0,9.19179195645132,120.0,9.271363986810538,,,,,,
64,Crp ARs__delcrp_glyc,9.401829869888044,0.13923899309522705,3.0,121.0,9.24131084908558,122.0,9.474169142373881,123.0,9.49000961820467,,,,,,
65,Glucose Evolution__glu_ale3,7.31902040370883,,1.0,124.0,7.31902040370883,,,,,,,,,,
66,Glucose Evolution__glu_ale4,7.36052444769075,,1.0,125.0,7.36052444769075,,,,,,,,,,
67,Glucose Evolution__glu_ale5,6.927438065975619,,1.0,126.0,6.927438065975619,,,,,,,,,,
68,Glucose Evolution__glu_ale6,6.94429126289045,,1.0,127.0,6.94429126289045,,,,,,,,,,
69,Glucose Evolution__glu_ale8,7.72081653782848,,1.0,128.0,7.72081653782848,,,,,,,,,,
70,Glucose Evolution__glu_ale9,7.49204808604802,,1.0,129.0,7.49204808604802,,,,,,,,,,
71,Glucose Evolution__glu_ale10,7.047355905836509,,1.0,130.0,7.047355905836509,,,,,,,,,,
72,42C Evolution__wt_42c,7.96564735919932,,1.0,131.0,7.96564735919932,,,,,,,,,,
73,42C Evolution__42c_ale1,7.35911323140592,,1.0,132.0,7.35911323140592,,,,,,,,,,
74,42C Evolution__42c_ale2,7.76073034945513,,1.0,133.0,7.76073034945513,,,,,,,,,,
75,42C Evolution__42c_ale3,7.9778875693447,,1.0,134.0,7.9778875693447,,,,,,,,,,
76,42C Evolution__42c_ale4,7.77976371821162,,1.0,135.0,7.77976371821162,,,,,,,,,,
77,42C Evolution__42c_ale5,7.75998928726447,,1.0,136.0,7.75998928726447,,,,,,,,,,
78,42C Evolution__42c_ale6,7.97692330154417,,1.0,137.0,7.97692330154417,,,,,,,,,,
79,42C Evolution__42c_ale8,7.86654001747674,,1.0,138.0,7.86654001747674,,,,,,,,,,
80,42C Evolution__42c_ale9,7.9266851127373,,1.0,139.0,7.9266851127373,,,,,,,,,,
81,42C Evolution__42c_ale10,8.039262180761929,,1.0,140.0,8.039262180761929,,,,,,,,,,
