,mtr
Cr_1,0.0006127932067338901
Cr_2,-0.001645194088346306
Cr_3,-0.005529194563372479
Cr_4,-0.012877280261589288
Cr_5,-0.02166639026517983
Cr_6,-0.030586916313176088
Fe_1,-0.0052513673318773406
Fe_2,-0.026804011081172738
Fe_3,-0.052917664764597104
Fe_4,-0.07178642303627368
Fe_5,-0.07889600533690917
Fe_6,-0.07710793063724952
Cd_1,0.0021475055396758184
Cd_2,0.003768065346038479
Cd_3,0.0049687741675016935
Cd_4,0.0063886968255335635
Cd_5,0.003549331631714186
Cd_6,0.008087219987337853
Zn_1,-0.010850946533854756
Zn_2,-0.020344666390178283
Zn_3,-0.016409527992050442
Zn_4,0.0020888482930761032
Zn_5,0.025558246211920682
Zn_6,0.04664306031593178
Cu_1,-0.0043652481359198825
Cu_2,-0.00739707543567868
Cu_3,-0.012616516562318748
Cu_4,-0.01935870864890924
Cu_5,-0.019643053246588604
Cu_6,-0.016642873245214268
Pb_1,0.0029118699410775662
Pb_2,0.005674299469387504
Pb_3,0.00629361981932819
Pb_4,0.007535777879601554
Pb_5,0.009050750516878672
Pb_6,0.007822415800263783
