,ribB
Cr_1,-0.004819126880306188
Cr_2,-0.013310788201474228
Cr_3,-0.012542342645834769
Cr_4,-0.02093147928201697
Cr_5,-0.026276581441622274
Cr_6,-0.023079995805502587
Fe_1,-0.03396093253489348
Fe_2,-0.06225041925027459
Fe_3,-0.0796347511696485
Fe_4,-0.0907086118210038
Fe_5,-0.09980748739915353
Fe_6,-0.11150040629676987
Cd_1,0.0073894712787080825
Cd_2,0.015937816662987037
Cd_3,0.02213555967290749
Cd_4,0.028097333254100455
Cd_5,0.029024292948914863
Cd_6,0.035369156370948354
Zn_1,-0.009641999805113249
Zn_2,-0.016319845823499116
Zn_3,-0.019793179710816733
Zn_4,-0.016979402400089848
Zn_5,-0.011731144185999685
Zn_6,-0.003224303769652872
Cu_1,-0.001696948488555463
Cu_2,-0.006596812372005605
Cu_3,-0.003912179094124104
Cu_4,-0.0009630949847270168
Cu_5,-0.004534734773731033
Cu_6,-0.0016750813663184028
Pb_1,0.00706156877050059
Pb_2,0.011690395817231485
Pb_3,0.017829339574507053
Pb_4,0.014365258633896188
Pb_5,0.012040013734173556
Pb_6,0.011604519199822366
