,skp
Cr_1,-0.004072866148867435
Cr_2,-0.008060433785834471
Cr_3,-0.01634476503076439
Cr_4,-0.02191103038444718
Cr_5,-0.02355121917941504
Cr_6,-0.02446202877590667
Fe_1,-0.013045586188790422
Fe_2,-0.04426858717099491
Fe_3,-0.07965296324105893
Fe_4,-0.1231803779772845
Fe_5,-0.15432877902943395
Fe_6,-0.17073034892228675
Cd_1,-0.0015306683961053855
Cd_2,0.0010537412192147787
Cd_3,0.003282870790870257
Cd_4,0.008435190889276913
Cd_5,0.006796483686435125
Cd_6,0.008821429658615262
Zn_1,-0.02764360213543928
Zn_2,-0.03512708012304122
Zn_3,-0.07936642751573683
Zn_4,-0.0533502536987621
Zn_5,-0.05090071130468932
Zn_6,-0.06296900106534649
Cu_1,0.007518288431826955
Cu_2,0.01274064311455253
Cu_3,0.01935083694851896
Cu_4,0.02026490603566207
Cu_5,0.021547579885006524
Cu_6,0.025744802836686956
Pb_1,-0.0009561040365929992
Pb_2,-0.0011032432777330298
Pb_3,0.004689466227668926
Pb_4,0.010086129626740013
Pb_5,0.01598684632150013
Pb_6,0.021768748935747283
