,yjjJ
Cr_1,0.00036108452215483983
Cr_2,0.0023213821452683627
Cr_3,0.009046209964051559
Cr_4,0.01931116018315521
Cr_5,0.02601010888099701
Cr_6,0.03306544826753289
Fe_1,-0.023460746855043187
Fe_2,-0.06603581347995005
Fe_3,-0.10737301795298557
Fe_4,-0.1465984881255934
Fe_5,-0.18753421137382387
Fe_6,-0.2270492542014846
Cd_1,-0.01866711309769861
Cd_2,-0.022748704452727857
Cd_3,-0.01607836359251734
Cd_4,-0.0037721578370229374
Cd_5,0.003191309079937401
Cd_6,0.01681972261161275
Zn_1,-0.06789635822302623
Zn_2,-0.1274941729197166
Zn_3,-0.002041396720938023
Zn_4,-0.03732507127065757
Zn_5,-0.06320728773242441
Zn_6,-0.0710904726636072
Cu_1,0.015509639797899356
Cu_2,0.03478075713063422
Cu_3,0.05295875459667188
Cu_4,0.05549307682979912
Cu_5,0.056089113661695146
Cu_6,0.05696001172432465
Pb_1,0.006167297435943586
Pb_2,0.0189481979875022
Pb_3,0.03379096097820787
Pb_4,0.04903600518703912
Pb_5,0.06469482955609937
Pb_6,0.08112899733337851
