,A,SoxS
R2,,0.7146675726245569
xmin,,-6.550050657
xmid,,-0.015241758643025767
xmax,,6.984065303
ystart,,-2.344139563866684
yend,,21.79344476255628
control__wt_glc__1,0.13352209,0.049455718
control__wt_glc__2,-0.13352209,-0.049455718
fur__wt_dpd__1,3.4460757579,1.5334292409999999
fur__wt_dpd__2,3.3960504361,1.5942033850000001
fur__wt_fe__1,-0.7989351274000001,-0.43744470500000004
fur__wt_fe__2,-0.6465802382,-0.291257125
fur__delfur_dpd__1,1.9837779321000002,0.8125968010000001
fur__delfur_dpd__2,1.5951526571999999,0.6166450680000001
fur__delfur_fe2__1,1.0086495334,1.6357362210000002
fur__delfur_fe2__2,1.1548257996,1.6577802209999999
acid__wt_ph5__1,-0.18081330780000002,0.09081262200000001
acid__wt_ph5__2,0.0050490729,0.078305732
acid__delgadx_ph5__2,-0.15661916580000002,0.128848826
acid__delgadw_ph5__1,-0.09888284130000001,0.525186766
acid__delgadw_ph5__2,-0.1936268431,0.6129703870000001
acid__delgade_ph5__1,-0.1159781004,0.285622973
acid__delgade_ph5__2,-0.11239541700000001,0.32018308500000003
oxidative__wt_pq__1,18.2511807163,6.456181583
oxidative__wt_pq__2,17.9706631488,6.395162773
oxidative__deloxyr_pq__1,18.9374080344,6.799795283
oxidative__deloxyr_pq__2,18.4338661601,6.855191163
oxidative__delsoxr_pq__1,1.7291530386,1.348971495
oxidative__delsoxr_pq__2,1.7440682390000002,1.337856586
oxidative__delsoxs_pq__1,-1.8619106472,-6.550050657
oxidative__delsoxs_pq__2,-1.6965891013,-6.550050657
nac_ntrc__wt_csn__1,7.2095819373,4.509580743
nac_ntrc__wt_csn__2,7.1629994609,4.373993363
nac_ntrc__wt_cytd__1,7.4056351209,3.9233161130000003
nac_ntrc__wt_cytd__2,7.500367114,4.038561113
nac_ntrc__wt_gln__1,0.5263900176,0.6955478620000001
nac_ntrc__wt_gln__2,0.5200675709,0.70540031
nac_ntrc__bw_delnac_csn__1,6.1333707993,4.859733823
nac_ntrc__bw_delnac_csn__2,6.8126628804,4.714820743
nac_ntrc__bw_delnac_cytd__1,5.1539025614,3.754196063
nac_ntrc__bw_delnac_cytd__2,4.9011720098,3.503499413
nac_ntrc__bw_delnac_gln__1,0.2004691265,0.7696058880000001
nac_ntrc__bw_delnac_gln__2,0.4479295159,1.093947801
nac_ntrc__bw_delnac_nh4__1,-1.7584312247,-0.06622103800000001
nac_ntrc__bw_delnac_nh4__2,-0.9067375002,0.163485863
misc__wt_no_te__1,-0.170342619,0.08015164600000001
misc__wt_no_te__2,-0.8217325751000001,0.181969392
misc__bw_delcbl__1,-1.5575780447,-0.376266533
misc__bw_delcbl__2,-1.38245705,-0.10650930900000001
misc__bw_delfabr__1,-1.3699396022,-0.15195571400000002
misc__bw_delfabr__2,-1.6894586439000001,-0.00336533
misc__bw_delfadr__1,-1.5546709056,-0.11993250200000001
misc__bw_delfadr__2,-1.2587111998,-0.096917402
misc__nitr_031__1,-0.2933931436,0.20582170100000002
omics__wt_glu__1,0.0123719251,2.187738135
omics__wt_glu__2,0.0468407827,2.398456643
omics__wt_gly__1,-0.3902862869,1.7066110270000001
omics__wt_gly__2,-0.6266474599,1.6637738400000002
omics__wt_thr__1,-2.3276843139,1.607659352
omics__wt_thr__2,-2.2532656391,1.7848308350000002
omics__bw_ac__1,-1.4777700033,0.8644434160000001
omics__bw_ac__2,-1.3625252827,0.696626552
omics__bw_fum__1,-2.9251281062,0.178585937
omics__bw_fum__2,-2.6851677852,0.22063273200000003
omics__bw_glc__1,-1.2724300914,0.49198111400000005
omics__bw_glc__2,-1.0423378121,0.513075716
omics__bw_pyr__1,-1.7072919878000001,0.677341125
omics__bw_pyr__2,-2.3386096104,0.419641655
ompr__wt_nacl__1,1.5047032346,-0.626351603
