,-0.1101419615004774,-0.0917849679170645,-0.0734279743336516,-0.055070980750238696,-0.03671398716682579,-0.01835699358341289,1.3877787807814457e-17,0.018356993583412903,0.03671398716682582,0.05507098075023874,0.07342797433365163,0.09178496791706452,0.11014196150047743,0.12849895508389036,0.14685594866730323,0.16521294225071614,0.18356993583412906,0.20192692941754198,0.2202839230009549,0.23864091658436776
thresh,-0.11932045829218385,0.11932045829218385,2,,,,,,,,,,,,,,,,,
unreg,0,0,0,13,66,807,2816,690,75,12,3,0,0,0,0,0,0,0,1,0
NarP,0,0,0,0,1,1,17,1,2,2,0,0,1,1,1,1,3,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PN96_RS18305'],[]
NarP_genes,[],[],[],[],['PN96_RS16880'],['pflB'],"['PN96_RS16875' 'ccmG' 'moaA' 'ccmB' 'ccmA' 'ccmF' 'moaB' 'ccmE' 'ccmH'
 'adhE' 'ccmH' 'ccmC' 'dcuA' 'moaD' 'moaC' 'aspA' 'moaE']",['ccmD'],['adhB' 'narQ'],['cysG' 'NarP'],[],[],['nirB'],['nirC'],['nirD'],['napF'],['napD' 'napA' 'napB'],['napC'],[],[]
