,A,NarP
R2,,0.6351578722732429
xmin,,-2.524909078
xmid,,0.3825655938427096
xmax,,2.550364292
ystart,,2.0592713921752006
yend,,37.43305176295505
Rich_TF_over_stress__BHIN_Growth_Late__1,3.3637889104915915,0.6257015639999999
Rich_TF_over_stress__BHIN_Growth_Late__2,3.870242658965047,0.358394992
Rich_TF_over_stress__BHIN_Growth_Mid__1,6.575949040504404,-0.3156451049999997
Rich_TF_over_stress__BHIN_Growth_Mid__2,12.366296023824669,0.3269469340000004
Rich_TF_over_stress__BHIN_Growth_Stat__1,12.611790864426538,-1.0914660439999997
Rich_TF_over_stress__BHIN_Growth_Stat__2,14.45008633840275,-0.231807528
Rich_TF_over_stress__LBv2_Growth_Late__1,2.5150768584956995,-0.6769200470000003
Rich_TF_over_stress__LBv2_Growth_Late__2,2.6894729248966773,-0.2793451310000003
Rich_TF_over_stress__LBv2_Growth_Mid__1,0.0547416182949906,0.0899158409999998
Rich_TF_over_stress__LBv2_Growth_Mid__2,-0.0547416182949692,-0.0899158409999998
Rich_TF_over_stress__LBv2_Growth_Stat__1,9.661689900901374,-1.852941645
Rich_TF_over_stress__LBv2_Growth_Stat__2,11.390563774257826,-2.524909078
Rich_TF_over_stress__MHB_Rich_Mid__1,29.55879093231532,2.550364292
Rich_TF_over_stress__MHB_Rich_Mid__2,27.03920756483912,2.244974481
Rich_TF_over_stress__NBO_Rich_Mid__1,5.400187210651842,0.4084837200000004
Rich_TF_over_stress__NBO_Rich_Mid__2,5.886361319218144,0.1098033200000001
Carbons__M9Na_Arabinose_Mid__1,1.2138330549532776,-0.2458160229999997
Carbons__M9Na_Arabinose_Mid__2,1.0843790727603118,0.0184217879999994
Carbons__M9Na_Galactose_Mid__1,-2.62783362508294,0.1333559399999995
Carbons__M9Na_Galactose_Mid__2,-2.693027906995726,0.3712474590000001
Carbons__M9Na_GlcNAcGrowth_Late__1,5.716018855919898,0.8029139079999998
Carbons__M9Na_GlcNAcGrowth_Late__2,3.0679544138588875,0.5458163669999996
Carbons__M9Na_GlcNAcGrowth_Mid__1,2.351694872318866,0.4321335949999998
Carbons__M9Na_GlcNAcGrowth_Mid__2,1.8661774630254613,0.3962757049999998
Carbons__M9Na_GlcNAcGrowth_Stat__1,1.7217927295554958,-1.6128292000000002
Carbons__M9Na_GlcNAcGrowth_Stat__2,1.9518632702918297,-1.857191342
Carbons__M9Na_GlcNAc_Mid__1,-6.644670308940236,0.2308374200000003
Carbons__M9Na_GlcNAc_Mid__2,-5.093620099326875,0.2054725069999996
Carbons__M9Na_Gluconate_Mid__1,-4.833724792921186,0.4808156720000003
Carbons__M9Na_Gluconate_Mid__2,-6.190867794595658,0.0753305539999997
Carbons__M9Na_Glucosamine_Mid__1,-0.6080641024752782,-0.9635812709999998
Carbons__M9Na_Glucosamine_Mid__2,-1.59217661217854,-1.137054698
Carbons__M9Na_Glycerol_Mid__1,0.2980255372394172,-0.0257948289999996
Carbons__M9Na_Glycerol_Mid__2,-0.8218336666985587,-0.0520434090000003
Carbons__M9Na_Maltose_Mid__1,0.7249919868738367,-0.3443722009999996
Carbons__M9Na_Maltose_Mid__2,-1.8616382664818527,-0.2483812280000004
Carbons__M9Na_Mannitol_Mid__1,3.0493005862888247,-0.4748027480000001
Carbons__M9Na_Mannitol_Mid__2,1.3525325168069708,-0.7872744369999998
Carbons__M9Na_Trehalose_Mid__1,1.2192929647130908,0.2969981370000001
Carbons__M9Na_Trehalose_Mid__2,-1.1005728183759644,-0.0425770270000001
Carbons__M9Na_ethanol_Mid__1,-2.5058254279621006,-1.735306263
Carbons__M9Na_ethanol_Mid__2,-0.5867256706720076,-1.847695281
Carbons__M9Na_fructose_Mid__1,3.312747879821961,0.1862739089999996
Carbons__M9Na_fructose_Mid__2,2.958315991580469,-0.0011492010000004
Carbons__M9Na_fumarate_Mid__1,-9.231077545743446,0.3825655039999995
Carbons__M9Na_fumarate_Mid__2,0.1130772467451348,0.2115711280000001
Carbons__M9Na_glucoseGrowth_Late__1,2.631946906672775,0.0907511919999999
Carbons__M9Na_glucoseGrowth_Late__2,3.0123243575848533,0.0733093360000003
Carbons__M9Na_glucoseGrowth_Mid__1,0.7259507895574534,0.031131685
Carbons__M9Na_glucoseGrowth_Mid__2,-0.7259507895574521,-0.031131685
Carbons__M9Na_glucoseGrowth_Stat__1,-0.3510252530800422,-0.4816072279999996
Carbons__M9Na_glucoseGrowth_Stat__2,-0.3248210506215564,-0.9768692210000004
Carbons__M9Na_ribose_Mid__1,-5.949210712691731,-0.1931071400000004
Carbons__M9Na_ribose_Mid__2,-4.95518061650936,-0.4364984210000004
Carbons__M9Na_succinate_Mid__1,-0.1039746378817056,0.803217708
Carbons__M9Na_succinate_Mid__2,3.70240255192772,0.4336156649999996
Carbons__M9Na_sucrose_Mid__1,-2.024305425692762,0.2392361929999999
Carbons__M9Na_sucrose_Mid__2,-1.1679055762744444,0.307602707
Rich_TF_over_stress__LBv2_HapROver_Late__1,-0.8609878470834897,-0.4022959339999996
Rich_TF_over_stress__LBv2_HapROver_Late__2,-0.9377671686204718,-0.1990618270000004
Rich_TF_over_stress__LBv2_HapROver_Mid__1,4.9968452232251925,0.1201389569999999
Rich_TF_over_stress__LBv2_HapROver_Mid__2,6.646237439335992,0.1472053500000001
Rich_TF_over_stress__LBv2_HapROver_Stat__1,5.562213925099795,-0.3365065879999998
Rich_TF_over_stress__LBv2_HapROver_Stat__2,5.440055706472151,-0.3775065839999998
