,galR
Cr_1,-0.005254259948062168
Cr_2,-0.003523634119207468
Cr_3,-0.005107576084048885
Cr_4,-0.006014600207892859
Cr_5,-0.007128565236550225
Cr_6,-0.009483745236201548
Fe_1,-0.0050762572977662785
Fe_2,-0.01592477358380473
Fe_3,-0.0350208324187306
Fe_4,-0.06066723029105488
Fe_5,-0.07949024194636338
Fe_6,-0.08600120947295521
Cd_1,-0.004276271380196168
Cd_2,-0.016779952844419802
Cd_3,-0.02190200724222427
Cd_4,-0.01901403470787413
Cd_5,-0.015794340813767488
Cd_6,-0.014482766094525909
Zn_1,-0.0011385103259908009
Zn_2,-0.0015464067745693535
Zn_3,0.016246576416030268
Zn_4,0.043564263513298916
Zn_5,0.06772169981893393
Zn_6,0.08837406190440056
Cu_1,-0.005849030292525903
Cu_2,-0.004932528877367413
Cu_3,5.053618358191456e-05
Cu_4,0.002756837028291484
Cu_5,0.00854855372194784
Cu_6,0.015603975399533466
Pb_1,0.0010420950522430966
Pb_2,0.0019679043687442074
Pb_3,0.006795082718017168
Pb_4,0.011296536486969657
Pb_5,0.013439268527127788
Pb_6,0.018595618608434027
