,new_4208749_4208869_c
LBexp_1,13.8163
LBexp_2,13.2464
LBexp_3,13.3601
LBtran_1,11.6159
LBtran_2,12.653
LBtran_3,13.2075
LBstat_1,11.9176
LBstat_2,12.0119
LBstat_3,11.786200000000001
LBGexp_1,13.6679
LBGexp_2,13.224
LBGexp_3,13.782399999999999
LBGtran_2,13.3796
LBGtran_3,13.6469
LBGstat_1,14.2488
LBGstat_2,13.5898
LBGstat_3,13.1653
S0_1,12.9398
S0_2,13.304
S0_3,13.457
S1_1,12.9514
S1_2,12.7355
S1_3,13.0131
S2_1,11.9352
S2_2,11.5945
S2_3,11.9322
S3_1,12.2233
S3_2,12.0312
S4_1,12.078
S4_2,12.0623
S4_3,11.6372
S5_1,11.3953
S5_2,11.9272
S5_3,11.4688
S6_1,11.2986
S6_2,9.4679
S6_3,11.4709
S6/t_1,10.977
S6/t_2,8.8295
S6_4,11.0106
S6_5,11.4628
S6_6,11.6026
S7_4,11.2099
S7_5,10.9379
S7_6,11.2089
S8_4,10.6739
S8_5,9.6545
G135_1,14.2009
G135_3,12.485
G150_1,13.6092
G150_2,14.325
G150_3,14.1721
G180_1,14.0415
G180_2,14.4478
G180_3,13.2661
C30_1,13.2666
C30_2,13.3887
C90_1,12.5383
C90_2,12.6295
BI_1,12.4488
BI_2,13.1143
BC_2,12.1443
BC/t_1,11.6558
BC/t_2,11.9512
BC_1,11.9099
Sw_1,12.089
Sw_2,12.5748
BT_1,11.9407
BT_2,11.4666
B36_1,12.1297
B36_2,11.8509
B60_1,11.7769
B60_2,11.3719
M9exp_1,13.1585
M9exp_2,12.933
M9exp_3,12.7539
M9tran_1,12.2003
M9tran_2,12.5514
M9tran_3,12.6411
M9stat_1,9.7449
M9stat_2,9.7142
M9stat_3,9.3503
M+G_1,12.8157
M+G_2,12.6654
M+G_3,12.5787
Glu_1,12.8738
Glu_2,12.9837
Glu_3,12.9827
Fru_1,12.603
Fru_2,12.6902
Fru_3,12.280100000000001
Mal_1,12.2861
Mal_2,12.3906
Mal_3,12.673
G+S_2,12.2339
G+S_3,12.5478
Pyr_1,11.3473
Pyr_2,12.1946
Pyr_3,12.1367
Gly_1,12.2311
Gly_2,12.569
Gly_3,11.2899
Glucon_1,11.9312
Glucon_2,12.3758
Glucon_3,11.197
aero_1,13.6812
aero_2,12.4708
aero_3,13.4779
nit_1,12.2522
nit_2,12.537700000000001
nit_3,12.3074
ferm_1,12.2613
ferm_2,12.1328
ferm_3,12.4861
T-5.40H_1,13.2183
T-4.40H_1,13.1766
T-3.40H_1,13.0
T-2.40H_1,12.8326
T-1.40H_1,12.9303
T-1.10H_1,13.3108
T-0.40H_1,13.3472
T0.0H_1,13.3791
T0.30H_1,13.854800000000001
T1.0H_1,13.1712
T1.30H_1,12.8654
T2.0H_1,12.1252
T2.30H_1,12.5734
T3.0H_1,11.7921
T3.30H_1,12.0878
T4.0H_1,12.0404
T5.0H_1,11.3885
HPh_1,13.5694
HPh_2,13.2388
HPh_3,13.4805
LPh_1,13.6381
LPh_2,14.1636
LPh_3,13.5363
LPhT_1,13.6051
LPhT_2,13.6249
LPhT_3,13.8474
SMMPr_1,12.4279
SMMPr_2,12.6506
SMMPr_3,12.8296
HiTm_1,12.9496
HiTm_2,12.7293
HiTm_3,12.5812
LoTm_1,11.9657
LoTm_2,11.8793
LoTm_3,11.8687
HiOs_1,12.5633
HiOs_2,12.2031
HiOs_3,12.5382
BMM_1,13.2082
BMM_2,13.0019
BMM_3,13.1002
Heat_1,13.9488
Heat_2,13.7594
Heat_3,13.5965
Cold_1,13.0408
Cold_2,12.5459
Cold_3,12.0031
Etha_1,10.6114
Etha_2,11.0262
Etha_3,11.0501
SMM_1,12.8787
SMM_2,12.6161
SMM_3,12.5921
Salt_1,12.4159
Salt_2,12.51
Salt_3,12.6252
Mt0_1,13.7732
Mt0_3,13.5988
M0t45_1,13.3912
M0t45_2,13.8045
M0t45_3,13.3471
M0t90_1,11.5007
M0t90_2,12.0935
M0t90_3,11.5238
M40t45_1,13.1987
M40t45_2,12.6179
M40t45_3,13.4481
M40t90_1,11.3918
M40t90_2,12.1209
M40t90_3,12.1561
dia0_1,13.3173
dia0_2,13.5772
dia0_3,13.875
dia5_1,12.1512
dia5_2,12.7262
dia5_3,12.7465
dia15_1,14.6487
dia15_2,14.856300000000001
dia15_3,13.7321
Diami_1,13.6186
Diami_2,14.1802
Diami_3,14.039
Paraq_1,14.0032
Paraq_2,14.2203
Paraq_3,12.6892
H2O2_1,14.0936
H2O2_2,14.3528
H2O2_3,14.202
Oxctl_1,13.498
Oxctl_2,13.443
Oxctl_3,14.1565
GM-0.1_1,12.2785
GM-0.2_1,12.7079
GM+5_1,12.4749
GM+15_1,12.600200000000001
GM+25_1,13.3727
GM+45_1,13.1622
GM+60_1,13.072
GM+90_1,13.2642
GM+120_1,12.3423
GM+150_1,12.5867
GM-0.1_2,13.1187
GM-0.2_2,13.1581
GM+5_2,12.7446
GM+10_2,12.736
GM+15_2,12.3668
GM+25_2,13.0613
GM+45_2,12.2712
GM+60_2,12.2737
GM+90_2,13.0229
GM+150_2,12.2078
GM-0.1_3,12.7967
GM-0.2_3,12.7354
GM+5_3,12.8298
GM+10_3,11.997
GM+15_3,12.4216
GM+25_3,12.3568
GM+45_3,12.2725
GM+60_3,12.318200000000001
GM+90_3,13.0972
GM+120_3,12.8894
GM+150_3,13.3336
MG-0.1_1,12.76
MG+5_1,12.9169
MG+10_1,13.405100000000001
MG+15_1,12.6279
MG+25_1,13.225
MG+45_1,12.8201
MG+120_1,11.8402
MG+150_1,12.9481
MG-0.1_2,11.9443
MG-0.2_2,12.4394
MG+5_2,12.7629
MG+10_2,13.0236
MG+15_2,13.9933
MG+25_2,12.5725
MG+45_2,12.3283
MG+60_2,12.8776
MG+90_2,12.3197
MG+120_2,12.6019
MG-0.1_3,13.1053
MG-0.2_3,12.8614
MG+5_3,12.8234
MG+10_3,12.4784
MG+15_3,13.0468
MG+25_3,13.3882
MG+45_3,13.4975
MG+60_3,12.9553
MG+90_3,13.0923
MG+120_3,12.4601
MG+150_3,12.3275
