,A,CreB
R2,,0.02241777188226335
xmin,,-3.8220148929
xmid,,
xmax,,2.2712033387
ystart,,-0.9037352273309377
yend,,1.2945925143800574
aat__00m_00s__1,0.3128708584,0.5620083103
aat__00m_30s__1,-0.30374670730000003,0.2908914009
aat__01m_00s__1,-1.2324828078,0.4216597513
aat__02m_00s__1,-0.8220889818,0.3235033369
aat__05m_00s__1,-0.2686765461,0.2545033726
aat__10m_00s__1,-0.6176233718,-0.1613615059
aat__00m_00s__2,-0.0572640962,-0.08512061180000001
aat__00m_30s__2,-0.4999923465,0.4042150749
aat__01m_00s__2,-0.8821477539,0.5683290481000001
aat__02m_00s__2,-1.043346018,0.5668021544
aat__05m_00s__2,-0.4205728521,0.286443063
aat__10m_00s__2,-0.3480042732,0.2873286836
aat__00m_00s__3,-0.2556067622,-0.4768876985
aat__00m_30s__3,-0.43062861410000003,0.5651648278
aat__01m_00s__3,-0.5881030274,0.6705925452
aat__02m_00s__3,-1.0222666176,0.4992643071
aat__05m_00s__3,-0.3118023848,0.40030874800000005
aat__10m_00s__3,-0.1880152519,-0.11687291550000001
abx_mega__dmso-2__1,0.5866536212,0.3362245293
abx_mega__ery_dmso__1,1.3384145009,-0.0517125035
abx_mega__nal_naoh__1,-1.670665969,-0.11640112400000001
abx_mega__dmso-5__1,0.2399102354,-0.40383086890000003
abx_mega__rif_dmso__1,1.2888335853,-0.3407088509
abx_mega__novo_h2o__1,1.5944472641,-2.1871127408
abx_mega__rach_dmso__1,0.683616573,0.08550071100000001
abx_mega__metro_dmso__1,-0.23955513720000002,-0.33730914640000004
abx_mega__dmso-6__1,0.3949960354,-0.3112943259
abx_mega__chl_h2o__1,0.8201762025,-0.017769370700000002
abx_mega__cst_h2o__1,-0.48903917830000004,0.36945786410000003
abx_mega__tec_h2o__1,13.0637065124,-0.1854178153
abx_mega__str_h2o__1,-0.24642628360000002,0.22831203800000002
abx_mega__ctx_h2o__1,-1.1941569041,0.17206908340000002
abx_mega__nal_naoh__2,0.1486518328,-1.7176410201999999
abx_mega__phos_h2o__1,3.633716466,0.414465375
abx_mega__dmso-5__2,0.3711747133,-0.350947954
abx_mega__polmyx_h2o__1,-1.3830862969,0.7869409589
abx_mega__h2o-8b__1,-0.6814946904,0.44145840620000004
abx_mega__h2o-6__1,-0.6518140541,-0.5336924898000001
abx_mega__thio_dmso__1,-0.4171301914,0.7596816310000001
abx_mega__phos_h2o__2,2.7486559024,-0.0670390513
abx_mega__ctx_h2o__2,-1.9588693627,0.6071399889
abx_mega__lzd_dmso__1,-0.0807801205,-0.0314072404
abx_mega__naoh-9__1,-0.7443845827000001,0.516730967
abx_mega__dox_dmso__1,0.177119565,0.9719447597
abx_mega__phos_ethanol__1,1.333591033,0.4745234897
abx_mega__teix_dmso__1,16.6257549638,0.5273728141
abx_mega__dmso-10__1,-0.47130239300000004,0.5304877705000001
abx_mega__van_dmso__1,1.2290978116,-0.1179685016
abx_mega__ramo_h2o__1,14.0366892773,0.6075026640000001
abx_mega__tec_h2o__2,12.9491283081,0.35705696200000003
abx_mega__h2o-7__1,-1.4635211251,0.2468797895
abx_mega__cro_h2o__1,-1.7334635101,0.4366188661
abx_mega__tric_ethanol__1,-0.1498923185,0.8628341285000001
abx_mega__nor_naoh__1,0.0375691443,-0.8096678288
abx_mega__teix_dmso__2,1.8826841608,-0.5617087390000001
abx_mega__nal_naoh__3,0.7334240322000001,-1.0340888172
abx_mega__novo_h2o__2,0.3648561792,-1.8594693851000001
abx_mega__dmso-10__2,-0.23611035060000002,0.6561742167
abx_mega__phos_h2o__3,0.3214478807,-0.6439865497
abx_mega__dmso-6__2,1.8724646467000001,-0.2047042141
abx_mega__rfp_ethanol__1,3.468999113,1.4304886565000001
abx_mega__dmso-5__3,0.8525341462,-0.1395979761
abx_mega__amyc-d_dmso__1,3.7434711568,-0.00033220520000000004
abx_mega__sxt_dmso__1,0.1004919029,0.22170316010000002
abx_mega__dmso-1__1,1.0109353896,-0.0790964077
abx_mega__pen_h2o__1,-0.7104201025,0.0083776623
abx_mega__dmso-10__3,-0.8882446474000001,0.5316339544
abx_mega__nal_naoh__4,0.11309039920000001,0.0314951984
abx_mega__cip_naoh__1,0.17230569440000001,0.08758073420000001
abx_mega__pen_h2o__2,-0.0999259083,-0.24670713300000002
abx_mega__ery_dmso__2,2.3188740614,-0.1280809142
abx_mega__dmso-2__2,-1.6509526170000002,0.23428307240000001
abx_mega__van_dmso__2,2.2715028929,-0.0095559085
abx_mega__h2o-1b__1,-0.8403983662000001,-0.3960870556
abx_mega__ery_h2o__1,1.1511629458,0.2463172458
abx_mega__bacit_h2o__1,13.7381310581,-0.0373357088
abx_mega__chl_h2o__2,0.9807291288000001,0.3511938479
abx_mega__str_h2o__2,-3.5838317807999998,0.7019124969
abx_mega__rfp_ethanol__2,3.4002558975,1.6268297692
abx_mega__polmyx_h2o__2,-0.7053047093,0.3136498421
abx_mega__tric_h2o__1,-1.0684903071,1.4679667491
abx_mega__cip_naoh__2,0.224073831,-0.7275817017
abx_mega__novo_h2o__3,0.7464154389000001,-1.4444785999
abx_mega__bacit_dmso__1,2.9808914445,-0.3477210329
abx_mega__gen_h2o__1,2.3251439845,1.1807514718
abx_mega__bacit_dmso__2,3.6089180712,-0.0502378315
abx_mega__chl_dmso__1,0.8147416898000001,0.48126648780000003
abx_mega__bacit_h2o__2,12.8163646279,-0.2816635818
abx_mega__lvx_dmso__1,0.5140424311,0.1087304429
abx_mega__bacit_h2o__3,13.0863342416,0.5950035901
abx_mega__nor_naoh__2,0.299995508,-0.0704305241
abx_mega__amyc-d_dmso__2,2.8886996213,-0.38841668020000003
abx_mega__polmyx_h2o__3,-2.5033255661,0.47007198780000004
abx_mega__naoh-6__1,-0.6041479695,-1.0307402073
abx_mega__cst_h2o__2,2.6146709706999998,-0.0513091866
abx_mega__h2o-1b__2,-0.38887354420000003,0.5040939536
abx_mega__rfp_h2o__1,1.9012788283000002,0.7344457548000001
abx_mega__tet_h2o__1,0.3218500957,0.0038851817
abx_mega__flavo_dmso__1,0.9634022762000001,-0.0058612112
abx_mega__zeocin_h2o__1,-1.5395575557,0.4484016116
abx_mega__nor_naoh__3,-0.030346366200000002,-0.7489661262
abx_mega__rach_dmso__2,1.2069017116,0.049203072
abx_mega__thio_dmso__2,2.574282965,0.8913484205000001
abx_mega__amyc-d_dmso__3,3.6746587739,0.4825895089
abx_mega__rif_dmso__2,3.5820511839,0.7250889596
abx_mega__amyc-d_dmso__4,2.0612405411,-0.0237610756
abx_mega__teix_dmso__3,5.6971303812,-0.46109874230000003
abx_mega__valin_dmso__1,5.1712464728,0.40518039850000004
abx_mega__teix_dmso__4,1.4010156608,-0.5812430323000001
abx_mega__ethanol-10__1,-0.8139440517000001,0.9443595665000001
abx_mega__inh_h2o__1,-2.3002737571000003,-0.0125439694
abx_mega__rif_dmso__3,0.8547334811,-0.0529068626
abx_mega__van_dmso__3,2.9583307347,0.0429503968
abx_mega__doxo_dmso__1,-1.7600246673000002,-0.20954122290000002
abx_mega__tmp_dmso__1,-0.7626041428,-0.7564999277000001
abx_mega__ethanol-10__2,-1.896269593,0.3428435219
abx_mega__tmp_dmso__2,-0.49759940090000004,-0.9884635970000001
abx_mega__amyc-d_dmso__5,3.3545931471,0.3383136976
abx_mega__novo_h2o__4,3.6810046999,-0.4809104202
abx_mega__cro_h2o__2,-2.5504608554,0.3267102179
abx_mega__cro_h2o__3,-1.4555550382,0.6320539678
abx_mega__gen_h2o__2,0.32751240260000003,0.7296771755
abx_mega__phos_h2o__4,-3.165371152,0.022173470600000002
abx_mega__metro_dmso__2,0.0788522106,-0.16038094790000001
abx_mega__ery_h2o__2,-1.2241008579,0.3233464298
abx_mega__sacet_h2o__1,-1.4912208103,0.015322796500000001
abx_mega__nal_naoh__5,0.415342837,-1.237288163
abx_mega__bacit_h2o__4,12.7234691767,-0.6229675886
abx_mega__cip_naoh__3,0.6044820606,-0.1358698026
abx_mega__ethanol-8__1,-1.1809927258,0.0328208384
abx_mega__h2o-8a__1,-0.052017956000000004,0.3226588997
abx_mega__ery_h2o__3,1.3407466534,0.6633495118
abx_mega__flavo_dmso__2,-1.1837387355,0.5117469014
abx_mega__rif_dmso__4,2.1432689638,0.5490047629
abx_mega__novo_h2o__5,0.46048248820000004,-1.9104810033000001
abx_mega__teix_dmso__5,1.1980129935,0.2265967989
abx_mega__naoh-2__1,-2.0655339172,-0.2858415152
abx_mega__novo_h2o__6,-0.5809060827,-2.3318527882
abx_mega__ctx_h2o__3,-1.7612217368,0.6480780974
abx_mega__rach_dmso__3,0.5806599490000001,0.3616948332
abx_mega__valin_dmso__2,4.5375277837,0.6054501753
abx_mega__amyc-d_dmso__6,3.9353274931,1.4805377561
