,udp
Cr_1,0.0022589924834158018
Cr_2,0.0076389846205926785
Cr_3,0.014204182586694343
Cr_4,0.020728521832489456
Cr_5,0.022634330013292788
Cr_6,0.02306155529050684
Fe_1,-0.004810263448181681
Fe_2,-0.011890487625645
Fe_3,-0.01631086451607745
Fe_4,-0.02770154068710455
Fe_5,-0.032909226804075764
Fe_6,-0.03737869697038616
Cd_1,0.003089978416398824
Cd_2,0.007046360941129178
Cd_3,0.012927271832506837
Cd_4,0.019354301454928103
Cd_5,0.01950221188548132
Cd_6,0.026119085876758732
Zn_1,-0.002535791454454673
Zn_2,0.00561642559053249
Zn_3,0.02717656260048117
Zn_4,0.05027116222378288
Zn_5,0.06946924206333377
Zn_6,0.08399461627768404
Cu_1,0.004624712224060579
Cu_2,0.007554555459085152
Cu_3,0.012264057663080129
Cu_4,0.017096782584303215
Cu_5,0.023474452156343244
Cu_6,0.033471746748203565
Pb_1,-0.0005004285226814339
Pb_2,0.0028113006489309607
Pb_3,0.009134686163724242
Pb_4,0.016036226200642
Pb_5,0.0193763703617552
Pb_6,0.02410262641541968
