,yehS
Cr_1,-0.003633219687100441
Cr_2,-0.005550839786318841
Cr_3,0.00035357327031684767
Cr_4,0.012850335637433105
Cr_5,0.02324785055494143
Cr_6,0.03183113384517693
Fe_1,-0.027276216369482995
Fe_2,-0.05903322665817179
Fe_3,-0.07744873442457216
Fe_4,-0.07994081768403505
Fe_5,-0.09827276175270663
Fe_6,-0.10266076247462542
Cd_1,0.0043301269231982185
Cd_2,0.01178468305485804
Cd_3,0.020521076103907958
Cd_4,0.028513451515459764
Cd_5,0.031302480216565155
Cd_6,0.037436943508945636
Zn_1,-0.001244832130314825
Zn_2,0.00018188776242110259
Zn_3,0.012514864426913068
Zn_4,0.026524822540737243
Zn_5,0.04820540585349195
Zn_6,0.06704293173367906
Cu_1,-0.006771931257448775
Cu_2,-0.0016522502160244384
Cu_3,0.0020992102179902693
Cu_4,0.010484087433854013
Cu_5,0.01863037936729517
Cu_6,0.03192622439069705
Pb_1,0.002262790858573264
Pb_2,-0.008236804199296403
Pb_3,-0.01977662893677439
Pb_4,-0.00922929940236335
Pb_5,-0.0005027013381918079
Pb_6,0.006352922581295913
