,yfhK
Cr_1,-0.0029737664175952805
Cr_2,-0.006226414744229036
Cr_3,-0.0009227668674821113
Cr_4,0.010006196724768657
Cr_5,0.007970673842178996
Cr_6,-9.3330618236917e-05
Fe_1,-0.05847023027604105
Fe_2,-0.10434829099116502
Fe_3,-0.135313023190001
Fe_4,-0.1497226939974957
Fe_5,-0.12171872275364798
Fe_6,-0.08558528655196332
Cd_1,-0.004243891668931106
Cd_2,-0.007863700867529265
Cd_3,-0.0059599501694789685
Cd_4,-0.0033154239133276037
Cd_5,-0.007864365454794239
Cd_6,-0.002448982892197726
Zn_1,-0.08626357353939579
Zn_2,-0.09148636062322482
Zn_3,-0.11349843760550145
Zn_4,-0.1230574177150731
Zn_5,-0.14493036254243866
Zn_6,-0.1586171609849467
Cu_1,0.0015793902067981545
Cu_2,0.0073381268461772545
Cu_3,0.00399294996766364
Cu_4,0.005098131925955785
Cu_5,0.010970663725267414
Cu_6,0.019319550263268464
Pb_1,0.006852204344985889
Pb_2,0.022903110903133524
Pb_3,0.03537459543311498
Pb_4,0.033566513952508696
Pb_5,0.04447503801949616
Pb_6,0.06064104329759015
