,0
gene_id,Rv0324
name,Rv0324
operon,Op224
gene_product,transcriptional regulator
cog,Transcription
regulator,whiB4
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0324"">Mycobrowser</a>"
