locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,Dnr,Anr,link
PA0510,0.218174572,PA0510,,uroporphyrin-III C-methyltransferase,Coenzyme transport and metabolism,"Anr,Anr,Dnr",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0510&e1=1&assembly=complete
PA0511,0.21733919100000001,nirJ,,heme d1 biosynthesis protein NirJ,Energy production and conversion,"Anr,Anr,Dnr",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0511&e1=1&assembly=complete
PA0513,0.21435303600000002,PA0513,,heme d1 biosynthesis protein NirG,Transcription,"Anr,Dnr",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0513&e1=1&assembly=complete
PA0512,0.203802891,PA0512,,heme d1 biosynthesis protein NirH,Transcription,"Anr,Anr,Dnr",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0512&e1=1&assembly=complete
PA0514,0.17908253600000001,nirL,,heme d1 biosynthesis protein NirL,Transcription,"Anr,Anr,Dnr",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0514&e1=1&assembly=complete
PA0509,0.15915283200000002,nirN,,cytochrome C,Energy production and conversion,"Anr,Anr,Dnr",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0509&e1=1&assembly=complete
PA0515,0.137754619,PA0515,,heme d1 biosynthesis protein NirD,Transcription,"Anr,Dnr",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0515&e1=1&assembly=complete
PA0516,0.099890659,nirF,,heme d1 biosynthesis protein NirF,Function unknown,"Anr,Anr,Dnr",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0516&e1=1&assembly=complete
