,yeeR
Cr_1,0.006005087411723799
Cr_2,0.009077841094833176
Cr_3,0.01645732264965733
Cr_4,0.020528698135990103
Cr_5,0.02743158672417997
Cr_6,0.030001950893513662
Fe_1,-0.01013522735209897
Fe_2,-0.030603767618804668
Fe_3,-0.0469886464657504
Fe_4,-0.06848842191105031
Fe_5,-0.07762571114710827
Fe_6,-0.0812943037917165
Cd_1,0.004269084242427061
Cd_2,0.009783194333785213
Cd_3,0.01525652905062348
Cd_4,0.01795649920855829
Cd_5,0.012914809996796806
Cd_6,0.015157387882560741
Zn_1,-0.0070748868454830124
Zn_2,-0.010331554229519408
Zn_3,-0.00823416683425149
Zn_4,-0.0038768052350289374
Zn_5,0.002407712760513192
Zn_6,0.007404783419552116
Cu_1,0.004029937711744415
Cu_2,0.005740092937499655
Cu_3,0.008114116538991148
Cu_4,0.01159433110488985
Cu_5,0.012696372100994842
Cu_6,0.018971272399354
Pb_1,0.003931916786451353
Pb_2,0.005699233139513467
Pb_3,0.010069665784671677
Pb_4,0.013106410499178009
Pb_5,0.018516835493731416
Pb_6,0.021535924056749457
