,malS
Cr_1,0.0010937114503279204
Cr_2,0.0010389503596000922
Cr_3,-0.006475720995593389
Cr_4,-0.0032562358185958488
Cr_5,-0.006459110990846607
Cr_6,-0.006660606972151159
Fe_1,-0.018743401192407253
Fe_2,-0.04058445972342163
Fe_3,-0.04788677128922687
Fe_4,-0.04472394346385758
Fe_5,-0.040198390726852516
Fe_6,-0.03698534765063978
Cd_1,0.0018712332947099675
Cd_2,-0.00044321465029611973
Cd_3,-0.00013778001298110935
Cd_4,0.003178696922927411
Cd_5,-0.0037224036748429814
Cd_6,-0.00418008337777335
Zn_1,-0.00664478222604634
Zn_2,-0.012240798949033587
Zn_3,-0.005157307545960172
Zn_4,0.0047233654346932295
Zn_5,0.017932040192530054
Zn_6,0.028086164183546886
Cu_1,0.001933010048233758
Cu_2,-0.0058466317521605575
Cu_3,-0.010512518738369331
Cu_4,-0.01340151386552467
Cu_5,-0.019805129530449262
Cu_6,-0.019566834584644567
Pb_1,-0.009245486647037872
Pb_2,-0.022730344010123388
Pb_3,-0.029387879366974394
Pb_4,-0.03959862700429393
Pb_5,-0.028230042510089683
Pb_6,-0.02250944071977751
