,uxuA
Cr_1,0.003686814880256435
Cr_2,-0.006548678444027931
Cr_3,0.023998296486342264
Cr_4,0.04071148193043924
Cr_5,0.04404069652844368
Cr_6,0.044151770188994494
Fe_1,-0.027003453496475774
Fe_2,-0.08746519343957378
Fe_3,-0.10762918544122288
Fe_4,-0.13806359670674462
Fe_5,-0.12284444023358418
Fe_6,-0.11101209135171226
Cd_1,-0.004640772812137199
Cd_2,-0.0065708848062451634
Cd_3,-0.009990230529959737
Cd_4,-0.019852944753508774
Cd_5,-0.035875895637831334
Cd_6,-0.03503225685597845
Zn_1,0.0002568027631546985
Zn_2,-0.024347912374429192
Zn_3,-0.051079004826433266
Zn_4,-0.06873047586926644
Zn_5,-0.10331523613991404
Zn_6,-0.1391022087783904
Cu_1,-0.0010881886408960414
Cu_2,-0.0016930142490147414
Cu_3,0.008166657142360022
Cu_4,0.015247697933689037
Cu_5,0.02078001248620671
Cu_6,0.0493021018388183
Pb_1,0.009605679010595258
Pb_2,0.021022305208598643
Pb_3,0.03475620328108093
Pb_4,0.054028829666202816
Pb_5,0.06870276162669507
Pb_6,0.08601488617783214
