,dacA
Cr_1,0.00406838110379298
Cr_2,0.00914919031490465
Cr_3,0.013733242651875184
Cr_4,0.016956732707220132
Cr_5,0.01965328927211004
Cr_6,0.020094976492241314
Fe_1,-0.009612566024643335
Fe_2,-0.02211139702534436
Fe_3,-0.04069912774479265
Fe_4,-0.06660737768594242
Fe_5,-0.0898862776699297
Fe_6,-0.10390638328786124
Cd_1,0.0004613080745422378
Cd_2,0.0033110589797290557
Cd_3,0.009289745766457008
Cd_4,0.01394512598726402
Cd_5,0.015205951020399506
Cd_6,0.02018104114232123
Zn_1,0.0067036342499249245
Zn_2,0.011560723449326252
Zn_3,0.014074633445391041
Zn_4,0.01826844165658533
Zn_5,0.020563280558870224
Zn_6,0.022552874845573438
Cu_1,0.004401817127322701
Cu_2,0.008999203473931685
Cu_3,0.012730651397125004
Cu_4,0.015920590270886333
Cu_5,0.015762041497649808
Cu_6,0.016721023725897368
Pb_1,0.004830120448770596
Pb_2,0.010185828768993556
Pb_3,0.020587113104483933
Pb_4,0.029880059258285737
Pb_5,0.040345918271834494
Pb_6,0.053928244585051716
