,A,DksA
R2,,0.05712066189987186
xmin,,-2.4380674250000016
xmid,,
xmax,,1.121819649999999
ystart,,4.805132100940141
yend,,-6.080195701274411
control__wt_glc__1,0.2010550244129889,0.1076298599999994
control__wt_glc__2,-0.2010550244129734,-0.1076298600000012
fur__wt_dpd__1,-8.162122118944033,0.009194409999999207
fur__wt_dpd__2,-8.04620836591214,-0.4192228390000015
fur__wt_fe__1,1.63367775801697,-0.2020565680000015
fur__wt_fe__2,1.9732615166507663,-0.2513798250000008
fur__delfur_dpd__1,-8.058080371235938,0.055686959999999175
fur__delfur_dpd__2,-6.2728590851519925,-0.6067309120000015
fur__delfur_fe2__1,-1.5364701777436431,-0.015482680000001638
fur__delfur_fe2__2,-1.8288305222388648,-0.011832420000001065
acid__wt_ph5__1,-2.2202747042077267,0.0076367799999985655
acid__wt_ph5__2,-2.539469280350838,-0.035663430000001384
acid__delgadx_ph5__2,-0.5611440948163751,-0.3677387550000013
acid__delgadw_ph5__1,-1.515104640166452,-0.07422747000000207
acid__delgadw_ph5__2,-1.5107485722520304,-0.09099579000000092
acid__delgade_ph5__1,-2.6898639230649577,-0.017992910000002027
acid__delgade_ph5__2,-2.368046839029267,0.0005798099999996252
oxidative__wt_pq__1,-8.877550108566819,0.7980413299999984
oxidative__wt_pq__2,-8.803854782229061,0.6025655299999979
oxidative__deloxyr_pq__1,-8.780226125899388,0.7317989099999984
oxidative__deloxyr_pq__2,-8.639287103230684,0.6495899299999994
oxidative__delsoxr_pq__1,-4.195560565959078,0.2617222499999983
oxidative__delsoxr_pq__2,-4.998033321793403,0.2595753599999995
oxidative__delsoxs_pq__1,-9.561204467999524,0.5245155899999983
oxidative__delsoxs_pq__2,-9.245724710753905,0.5707898099999991
nac_ntrc__wt_csn__1,-9.94373015965745,0.16052029999999815
nac_ntrc__wt_csn__2,-9.939473257060357,0.2772081599999989
nac_ntrc__wt_cytd__1,-6.55028403319456,0.22319686999999888
nac_ntrc__wt_cytd__2,-6.296484049488314,0.3195903099999988
nac_ntrc__wt_gln__1,-11.594361753947046,0.1852724099999996
nac_ntrc__wt_gln__2,-11.118466483806928,0.3342519999999993
nac_ntrc__bw_delnac_csn__1,-13.880525957023286,-0.2621489740000005
nac_ntrc__bw_delnac_csn__2,-12.367035939040663,-0.5524067710000011
nac_ntrc__bw_delnac_cytd__1,-5.753908830206077,0.07475684999999821
nac_ntrc__bw_delnac_cytd__2,-4.855927649361138,0.03585329999999942
nac_ntrc__bw_delnac_gln__1,-8.955570969342894,0.0380137999999981
nac_ntrc__bw_delnac_gln__2,-9.160748391184493,-0.08735342000000124
nac_ntrc__bw_delnac_nh4__1,2.03578494686282,-0.04080128000000194
nac_ntrc__bw_delnac_nh4__2,2.3156488181578063,-0.07593800000000073
misc__wt_no_te__1,-4.943153449164471,0.22676975999999804
misc__wt_no_te__2,-1.271537608795187,0.01174367999999859
misc__bw_delcbl__1,3.75881752754586,-0.5797101590000011
misc__bw_delcbl__2,3.173107858698629,-0.5795122940000006
misc__bw_delfabr__1,5.129560212661627,-0.5769577290000019
misc__bw_delfabr__2,5.028812575281462,-0.515933084000002
misc__bw_delfadr__1,2.278497328606234,-0.5264993700000016
misc__bw_delfadr__2,1.4076217591146554,-0.1164916500000004
misc__nitr_031__1,-3.738631295833665,0.20116574999999948
omics__wt_glu__1,-5.1331640374582514,-0.9273650690000004
omics__wt_glu__2,-4.863640072850632,-0.8596755390000013
omics__wt_gly__1,-0.8339440296008361,-0.6696588900000009
omics__wt_gly__2,-0.7222098166653278,-0.7331763170000016
omics__wt_thr__1,-12.317998347233512,-0.7451474140000016
omics__wt_thr__2,-10.382764434293554,-0.7223676160000014
omics__bw_ac__1,-10.636708387821995,0.2426539099999996
omics__bw_ac__2,-11.158742256779446,0.3364245999999991
omics__bw_fum__1,-5.204082454998746,0.8194052799999979
omics__bw_fum__2,-5.191808503387787,0.8154417899999995
omics__bw_glc__1,-7.114212295352548,0.5184308499999979
omics__bw_glc__2,-6.624159908306391,0.4796128399999979
omics__bw_pyr__1,-8.566452885042702,0.3841025699999996
omics__bw_pyr__2,-9.269359229899418,0.5463251299999996
ompr__wt_nacl__1,-7.153531599619373,-0.2203507380000005
ompr__wt_nacl__2,-7.061382806154287,-0.06804128000000098
ompr__bw_delompr_nacl__1,-2.55538621896298,-0.3078799210000014
ompr__bw_delompr_nacl__2,-2.319972726775088,-0.30159189700000155
minspan__wt_ade__1,-0.8760620532371354,-0.5731016470000014
minspan__wt_glc__2,1.7970422900312806,-0.6758749860000021
minspan__wt_glc__3,1.7020583007897727,-0.6840573070000016
minspan__wt_glc__4,1.842930147885392,-0.7689962310000009
minspan__wt_glc_anaero__1,-4.41871395994997,-0.9779732880000012
minspan__wt_glc_anaero__2,-7.372216354641792,-0.9254245530000008
minspan__wt_trp__1,-11.051076075958024,-0.5289674810000005
minspan__bw_delcra_glc__2,-2.1853721063677893,-0.5329870900000007
minspan__bw_delcra_trp__1,-12.43374231704936,-0.4398418020000019
minspan__bw_delmntr__1,-2.9813411549778754,-0.5451796610000006
minspan__bw_delnac_ade__1,-1.744241192499541,-1.5243780760000014
minspan__bw_delnac_glc__1,-0.3496450570724381,-0.6186027230000004
cra_crp__wt_ac__1,-8.391562122066226,-0.6802902480000004
cra_crp__wt_ac__2,-8.032844394073377,-0.5718562410000008
cra_crp__wt_fru__1,-5.192372857649579,-0.7576643450000021
cra_crp__wt_fru__2,-6.093251411013744,-0.7738378300000015
cra_crp__delcra_ac__1,-10.52178298091247,-0.0258632400000014
